# power spectrum of delta
# redshift z=-0.007172
# k              Pk             sigma(k)       sigma(Pk)      count
  5.727314e-03   7.179573e-05   8.763345e-04   1.403942e-05   18
  1.001182e-02   1.263211e-03   1.059922e-03   1.970604e-04   62
  1.393445e-02   3.018055e-03   7.332271e-04   3.884528e-04   90
  1.764809e-02   7.218887e-03   1.157232e-03   4.976014e-04   170
  2.151286e-02   1.172004e-02   1.202795e-03   6.842412e-04   246
  2.528669e-02   1.703157e-02   1.146703e-03   9.435164e-04   338
  2.901099e-02   2.677734e-02   9.857564e-04   1.339434e-03   432
  3.284683e-02   3.478342e-02   1.010047e-03   1.527489e-03   578
  3.688195e-02   4.150465e-02   1.177086e-03   1.524178e-03   786
  4.101464e-02   5.018097e-02   1.190994e-03   1.636318e-03   974
  4.488954e-02   6.007137e-02   1.031402e-03   1.900491e-03   1002
  4.870958e-02   7.579632e-02   1.179303e-03   2.007893e-03   1334
  5.263577e-02   8.366524e-02   1.134676e-03   2.294022e-03   1458
  5.631027e-02   1.014306e-01   1.072446e-03   2.472299e-03   1604
  6.010158e-02   1.153838e-01   1.088865e-03   2.705740e-03   1974
  6.404851e-02   1.329587e-01   1.067989e-03   2.838603e-03   2234
  6.795611e-02   1.549757e-01   1.092954e-03   3.141752e-03   2490
  7.198483e-02   1.728621e-01   1.200217e-03   3.243973e-03   3014
  7.595394e-02   1.927618e-01   1.093611e-03   3.485096e-03   3018
  7.977896e-02   2.066602e-01   1.131598e-03   3.629003e-03   3446
  8.359600e-02   2.170463e-01   1.085617e-03   3.705018e-03   3626
  8.742004e-02   2.300398e-01   1.125556e-03   3.642878e-03   4164
  9.130612e-02   2.558612e-01   1.090740e-03   3.903936e-03   4470
  9.521636e-02   2.608673e-01   1.115446e-03   3.840768e-03   4970
  9.915211e-02   2.860696e-01   1.127844e-03   3.916505e-03   5366
  1.030785e-01   2.949361e-01   1.144516e-03   3.846371e-03   5778
  1.069619e-01   3.207042e-01   1.149148e-03   4.019508e-03   6162
  1.108671e-01   3.450515e-01   1.158272e-03   4.303954e-03   6734
  1.146806e-01   3.537823e-01   1.074898e-03   4.382003e-03   6756
  1.184510e-01   3.929501e-01   1.088568e-03   4.409703e-03   7502
  1.223464e-01   4.187012e-01   1.105366e-03   4.685933e-03   8154
  1.262469e-01   4.364162e-01   1.103283e-03   4.707558e-03   8618
  1.301909e-01   4.668206e-01   1.146655e-03   4.795792e-03   9390
  1.341197e-01   4.988065e-01   1.126004e-03   5.086444e-03   9722
  1.380051e-01   5.070555e-01   1.126950e-03   4.969606e-03   10242
  1.419007e-01   5.286484e-01   1.149257e-03   5.043460e-03   11006
  1.457777e-01   5.550307e-01   1.106962e-03   5.255502e-03   11348
  1.496576e-01   5.669310e-01   1.105725e-03   5.072269e-03   12150
  1.535164e-01   5.751948e-01   1.078348e-03   5.166722e-03   12498
  1.574072e-01   6.060701e-01   1.129889e-03   5.086080e-03   13586
  1.613096e-01   6.247482e-01   1.132072e-03   5.277784e-03   14006
  1.652381e-01   6.592752e-01   1.166232e-03   5.367097e-03   15162
  1.691226e-01   6.812972e-01   1.101754e-03   5.598940e-03   14990
  1.729750e-01   6.953112e-01   1.143142e-03   5.481493e-03   16380
  1.768610e-01   7.428610e-01   1.105581e-03   5.895576e-03   16666
  1.807168e-01   7.585973e-01   1.110348e-03   5.710759e-03   17638
  1.845996e-01   8.070026e-01   1.100521e-03   5.956748e-03   18354
  1.884710e-01   8.243310e-01   1.102640e-03   6.127026e-03   19034
  1.923685e-01   8.725734e-01   1.144302e-03   6.078305e-03   20270
  1.963174e-01   8.992420e-01   1.155956e-03   6.154020e-03   21258
  2.002141e-01   9.187205e-01   1.111898e-03   6.238672e-03   21350
  2.040863e-01   9.447840e-01   1.123159e-03   6.275863e-03   22644
  2.079681e-01   9.817997e-01   1.101476e-03   6.439807e-03   23114
  2.118390e-01   1.005337e+00   1.118265e-03   6.447020e-03   24342
  2.157382e-01   1.015668e+00   1.117694e-03   6.487105e-03   25194
  2.196235e-01   1.046591e+00   1.116195e-03   6.498260e-03   25982
  2.234724e-01   1.095316e+00   1.109599e-03   6.715680e-03   26506
  2.273806e-01   1.127073e+00   1.167806e-03   6.677949e-03   28738
  2.312750e-01   1.166445e+00   1.110542e-03   6.867968e-03   28296
  2.351662e-01   1.172874e+00   1.143823e-03   6.716963e-03   30554
  2.390501e-01   1.194859e+00   1.084103e-03   6.856945e-03   30094
  2.428824e-01   1.255943e+00   1.109820e-03   7.084160e-03   31738
  2.467836e-01   1.292613e+00   1.134747e-03   7.085179e-03   33306
  2.506613e-01   1.326951e+00   1.104153e-03   7.218593e-03   33422
  2.545365e-01   1.367841e+00   1.131527e-03   7.211513e-03   35298
  2.584714e-01   1.398376e+00   1.143069e-03   7.339325e-03   36650
  2.623670e-01   1.419646e+00   1.115532e-03   7.308915e-03   36888
  2.662651e-01   1.453357e+00   1.131896e-03   7.389645e-03   38834
  2.701697e-01   1.499912e+00   1.107355e-03   7.542633e-03   39246
  2.740453e-01   1.531569e+00   1.111777e-03   7.625968e-03   40466
  2.778984e-01   1.582323e+00   1.108403e-03   7.809318e-03   41106
  2.817847e-01   1.609977e+00   1.145602e-03   7.777886e-03   43598
  2.856833e-01   1.655094e+00   1.116308e-03   7.996640e-03   43650
  2.895471e-01   1.678737e+00   1.120907e-03   7.837701e-03   45272
  2.934575e-01   1.731376e+00   1.131740e-03   8.001716e-03   46994
  2.973636e-01   1.776477e+00   1.124346e-03   8.126281e-03   47850
  3.012447e-01   1.797189e+00   1.115858e-03   8.172305e-03   48846
  3.051030e-01   1.827389e+00   1.105642e-03   8.329158e-03   49706
  3.089532e-01   1.880882e+00   1.113265e-03   8.319219e-03   51198
  3.128464e-01   1.916904e+00   1.134266e-03   8.339800e-03   53402
  3.167281e-01   1.979157e+00   1.111145e-03   8.433362e-03   53634
  3.206428e-01   2.024633e+00   1.143806e-03   8.462413e-03   56888
  3.245618e-01   2.043295e+00   1.106794e-03   8.611898e-03   56474
  3.284581e-01   2.083355e+00   1.130606e-03   8.541039e-03   58962
  3.323510e-01   2.148870e+00   1.114731e-03   8.751887e-03   59214
  3.362265e-01   2.180566e+00   1.127963e-03   8.808285e-03   61250
  3.400938e-01   2.226982e+00   1.110759e-03   9.051507e-03   61694
  3.439480e-01   2.273725e+00   1.120230e-03   9.085693e-03   63618
  3.478512e-01   2.320911e+00   1.140078e-03   9.089916e-03   66284
  3.517691e-01   2.366511e+00   1.123324e-03   9.128213e-03   67014
