# background statistics
# cycle   tau/boxsize    a             conformal H/H0  phi(k=0)       T00(k=0)
      0   6.427024e-01   9.900990e-03   5.696668e+00   0.000000e+00   3.120460e-01
      1   6.442060e-01   9.940633e-03   5.684972e+00   5.131856e-11   3.120460e-01
      2   6.592729e-01   1.034212e-02   5.570429e+00   5.908863e-10   3.120460e-01
      3   6.746496e-01   1.075983e-02   5.458308e+00   1.091883e-09   3.120460e-01
      4   6.903422e-01   1.119441e-02   5.348552e+00   1.558689e-09   3.120460e-01
      5   7.063568e-01   1.164655e-02   5.241104e+00   1.995226e-09   3.120460e-01
      6   7.226998e-01   1.211696e-02   5.135911e+00   2.405034e-09   3.120460e-01
      7   7.393774e-01   1.260637e-02   5.032919e+00   2.791323e-09   3.120460e-01
      8   7.563964e-01   1.311555e-02   4.932079e+00   3.157010e-09   3.120460e-01
      9   7.737633e-01   1.364530e-02   4.833340e+00   3.504753e-09   3.120460e-01
     10   7.914850e-01   1.419646e-02   4.736654e+00   3.836979e-09   3.120460e-01
     11   8.095684e-01   1.476988e-02   4.641975e+00   4.155905e-09   3.120460e-01
     12   8.280207e-01   1.536647e-02   4.549256e+00   4.463563e-09   3.120460e-01
     13   8.468490e-01   1.598716e-02   4.458453e+00   4.761822e-09   3.120460e-01
     14   8.660609e-01   1.663293e-02   4.369524e+00   5.052398e-09   3.120460e-01
     15   8.856637e-01   1.730478e-02   4.282426e+00   5.336876e-09   3.120459e-01
     16   9.056652e-01   1.800378e-02   4.197119e+00   5.616724e-09   3.120459e-01
     17   9.260732e-01   1.873102e-02   4.113562e+00   5.893301e-09   3.120459e-01
     18   9.468958e-01   1.948764e-02   4.031718e+00   6.167875e-09   3.120459e-01
     19   9.681411e-01   2.027482e-02   3.951547e+00   6.441627e-09   3.120459e-01
     20   9.898174e-01   2.109381e-02   3.873015e+00   6.715669e-09   3.120459e-01
     21   1.011933e+00   2.194589e-02   3.796085e+00   6.991042e-09   3.120459e-01
     22   1.034497e+00   2.283239e-02   3.720722e+00   7.268735e-09   3.120459e-01
     23   1.057518e+00   2.375470e-02   3.646892e+00   7.549683e-09   3.120459e-01
     24   1.081005e+00   2.471428e-02   3.574563e+00   7.834781e-09   3.120459e-01
     25   1.104968e+00   2.571262e-02   3.503702e+00   8.124883e-09   3.120459e-01
     26   1.129415e+00   2.675130e-02   3.434277e+00   8.420813e-09   3.120459e-01
     27   1.154356e+00   2.783194e-02   3.366259e+00   8.723367e-09   3.120459e-01
     28   1.179801e+00   2.895623e-02   3.299617e+00   9.033321e-09   3.120459e-01
     29   1.205760e+00   3.012596e-02   3.234322e+00   9.351429e-09   3.120459e-01
     30   1.232243e+00   3.134293e-02   3.170345e+00   9.678435e-09   3.120459e-01
     31   1.259261e+00   3.260908e-02   3.107660e+00   1.001507e-08   3.120458e-01
     32   1.286823e+00   3.392638e-02   3.046239e+00   1.036205e-08   3.120458e-01
     33   1.314942e+00   3.529689e-02   2.986055e+00   1.072011e-08   3.120458e-01
     34   1.343627e+00   3.672278e-02   2.927083e+00   1.108996e-08   3.120458e-01
     35   1.372890e+00   3.820628e-02   2.869299e+00   1.147233e-08   3.120458e-01
     36   1.402742e+00   3.974971e-02   2.812677e+00   1.186793e-08   3.120458e-01
     37   1.433195e+00   4.135550e-02   2.757193e+00   1.227750e-08   3.120458e-01
     38   1.464261e+00   4.302616e-02   2.702825e+00   1.270179e-08   3.120458e-01
     39   1.495952e+00   4.476433e-02   2.649549e+00   1.314155e-08   3.120458e-01
     40   1.528280e+00   4.657271e-02   2.597344e+00   1.359753e-08   3.120457e-01
     41   1.561258e+00   4.845416e-02   2.546188e+00   1.407054e-08   3.120457e-01
     42   1.594899e+00   5.041163e-02   2.496060e+00   1.456136e-08   3.120457e-01
     43   1.629215e+00   5.244818e-02   2.446940e+00   1.507082e-08   3.120457e-01
     44   1.664220e+00   5.456702e-02   2.398806e+00   1.559976e-08   3.120457e-01
     45   1.699927e+00   5.677146e-02   2.351641e+00   1.614904e-08   3.120457e-01
     46   1.736350e+00   5.906497e-02   2.305425e+00   1.671955e-08   3.120457e-01
     47   1.773504e+00   6.145115e-02   2.260139e+00   1.731221e-08   3.120456e-01
     48   1.811402e+00   6.393374e-02   2.215765e+00   1.792795e-08   3.120456e-01
