# power spectrum of pi_k * H (dimensionless)
# redshift z=9.951253
# k              Pk             sigma(k)       sigma(Pk)      count
  5.727314e-03   1.366145e-10   8.763345e-04   3.026263e-11   18
  1.001182e-02   2.264114e-10   1.059922e-03   3.225627e-11   62
  1.393445e-02   1.612603e-10   7.332271e-04   1.976073e-11   90
  1.764809e-02   1.548674e-10   1.157232e-03   1.022607e-11   170
  2.151286e-02   1.160659e-10   1.202795e-03   7.255698e-12   246
  2.528669e-02   8.724577e-11   1.146703e-03   4.888928e-12   338
  2.901099e-02   7.922740e-11   9.857564e-04   3.907316e-12   432
  3.284683e-02   6.299069e-11   1.010047e-03   2.861514e-12   578
  3.688195e-02   4.782205e-11   1.177086e-03   1.744742e-12   786
  4.101464e-02   3.697666e-11   1.190994e-03   1.186013e-12   974
  4.488954e-02   3.115903e-11   1.031402e-03   9.855170e-13   1002
  4.870958e-02   2.825089e-11   1.179303e-03   7.462728e-13   1334
  5.263577e-02   2.309410e-11   1.134676e-03   6.290722e-13   1458
  5.631027e-02   2.104727e-11   1.072446e-03   5.191562e-13   1604
  6.010158e-02   1.875484e-11   1.088865e-03   4.513037e-13   1974
  6.404851e-02   1.717828e-11   1.067989e-03   3.654225e-13   2234
  6.795611e-02   1.537404e-11   1.092954e-03   3.162471e-13   2490
  7.198483e-02   1.377010e-11   1.200217e-03   2.589190e-13   3014
  7.595394e-02   1.236965e-11   1.093611e-03   2.251553e-13   3018
  7.977896e-02   1.099217e-11   1.131598e-03   1.889170e-13   3446
  8.359600e-02   9.588166e-12   1.085617e-03   1.611049e-13   3626
  8.742004e-02   8.322526e-12   1.125556e-03   1.300151e-13   4164
  9.130612e-02   7.611605e-12   1.090740e-03   1.168593e-13   4470
  9.521636e-02   6.680436e-12   1.115446e-03   9.752488e-14   4970
  9.915211e-02   6.105335e-12   1.127844e-03   8.223577e-14   5366
  1.030785e-01   5.290647e-12   1.144516e-03   6.760943e-14   5778
  1.069619e-01   5.049948e-12   1.149148e-03   6.407681e-14   6162
  1.108671e-01   4.557319e-12   1.158272e-03   5.765810e-14   6734
  1.146806e-01   4.227663e-12   1.074898e-03   5.065627e-14   6756
  1.184510e-01   3.973198e-12   1.088568e-03   4.431465e-14   7502
  1.223464e-01   3.771312e-12   1.105366e-03   4.181572e-14   8154
  1.262469e-01   3.470300e-12   1.103283e-03   3.778348e-14   8618
