# power spectrum of delta_kessence
# redshift z=-0.004205
# k              Pk             sigma(k)       sigma(Pk)      count
  5.727314e-03   3.179910e-08   8.763345e-04   6.155697e-09   18
  1.001182e-02   5.291959e-07   1.059922e-03   8.234804e-08   62
  1.393445e-02   1.251253e-06   7.332271e-04   1.614379e-07   90
  1.764809e-02   2.977909e-06   1.157232e-03   2.045370e-07   170
  2.151286e-02   4.789280e-06   1.202795e-03   2.801487e-07   246
  2.528669e-02   6.982109e-06   1.146703e-03   3.864679e-07   338
  2.901099e-02   1.095021e-05   9.857564e-04   5.487905e-07   432
  3.284683e-02   1.421996e-05   1.010047e-03   6.263994e-07   578
  3.688195e-02   1.704709e-05   1.177086e-03   6.211925e-07   786
  4.101464e-02   2.036325e-05   1.190994e-03   6.617047e-07   974
  4.488954e-02   2.445029e-05   1.031402e-03   7.773954e-07   1002
  4.870958e-02   3.085931e-05   1.179303e-03   8.249079e-07   1334
  5.263577e-02   3.393272e-05   1.134676e-03   9.259294e-07   1458
  5.631027e-02   4.088410e-05   1.072446e-03   1.003094e-06   1604
  6.010158e-02   4.668801e-05   1.088865e-03   1.114071e-06   1974
  6.404851e-02   5.429733e-05   1.067989e-03   1.157429e-06   2234
  6.795611e-02   6.248879e-05   1.092954e-03   1.276286e-06   2490
  7.198483e-02   6.965054e-05   1.200217e-03   1.308998e-06   3014
  7.595394e-02   7.726867e-05   1.093611e-03   1.406404e-06   3018
  7.977896e-02   8.304220e-05   1.131598e-03   1.446737e-06   3446
  8.359600e-02   8.674736e-05   1.085617e-03   1.467352e-06   3626
  8.742004e-02   9.043949e-05   1.125556e-03   1.424659e-06   4164
  9.130612e-02   9.922703e-05   1.090740e-03   1.518191e-06   4470
  9.521636e-02   1.010909e-04   1.115446e-03   1.483821e-06   4970
  9.915211e-02   1.095397e-04   1.127844e-03   1.477594e-06   5366
  1.030785e-01   1.107371e-04   1.144516e-03   1.428518e-06   5778
  1.069619e-01   1.212598e-04   1.149148e-03   1.529888e-06   6162
  1.108671e-01   1.277620e-04   1.158272e-03   1.615548e-06   6734
  1.146806e-01   1.322750e-04   1.074898e-03   1.600482e-06   6756
  1.184510e-01   1.437387e-04   1.088568e-03   1.611051e-06   7502
  1.223464e-01   1.534082e-04   1.105366e-03   1.716411e-06   8154
  1.262469e-01   1.584690e-04   1.103283e-03   1.711151e-06   8618
  1.301909e-01   1.701557e-04   1.146655e-03   1.770952e-06   9390
  1.341197e-01   1.801481e-04   1.126004e-03   1.825635e-06   9722
  1.380051e-01   1.795148e-04   1.126950e-03   1.771804e-06   10242
  1.419007e-01   1.844611e-04   1.149257e-03   1.749751e-06   11006
  1.457777e-01   1.930808e-04   1.106962e-03   1.830519e-06   11348
  1.496576e-01   1.933033e-04   1.105725e-03   1.734148e-06   12150
  1.535164e-01   1.943533e-04   1.078348e-03   1.768122e-06   12498
  1.574072e-01   2.005284e-04   1.129889e-03   1.695086e-06   13586
  1.613096e-01   2.032794e-04   1.132072e-03   1.732227e-06   14006
  1.652381e-01   2.100912e-04   1.166232e-03   1.676073e-06   15162
  1.691226e-01   2.131375e-04   1.101754e-03   1.750334e-06   14990
  1.729750e-01   2.178958e-04   1.143142e-03   1.698050e-06   16380
  1.768610e-01   2.286659e-04   1.105581e-03   1.779937e-06   16666
  1.807168e-01   2.357668e-04   1.110348e-03   1.782260e-06   17638
  1.845996e-01   2.446066e-04   1.100521e-03   1.817408e-06   18354
  1.884710e-01   2.484444e-04   1.102640e-03   1.841994e-06   19034
  1.923685e-01   2.595972e-04   1.144302e-03   1.790542e-06   20270
  1.963174e-01   2.677567e-04   1.155956e-03   1.822539e-06   21258
  2.002141e-01   2.697497e-04   1.111898e-03   1.831202e-06   21350
  2.040863e-01   2.701013e-04   1.123159e-03   1.811832e-06   22644
  2.079681e-01   2.762122e-04   1.101476e-03   1.821323e-06   23114
  2.118390e-01   2.780765e-04   1.118265e-03   1.811157e-06   24342
  2.157382e-01   2.762297e-04   1.117694e-03   1.752107e-06   25194
  2.196235e-01   2.796472e-04   1.116195e-03   1.759034e-06   25982
  2.234724e-01   2.865136e-04   1.109599e-03   1.760020e-06   26506
  2.273806e-01   2.903454e-04   1.167806e-03   1.717695e-06   28738
  2.312750e-01   2.926036e-04   1.110542e-03   1.745784e-06   28296
  2.351662e-01   2.911675e-04   1.143823e-03   1.657085e-06   30554
  2.390501e-01   2.925905e-04   1.084103e-03   1.696623e-06   30094
  2.428824e-01   3.047440e-04   1.109820e-03   1.718024e-06   31738
  2.467836e-01   3.047009e-04   1.134747e-03   1.678074e-06   33306
  2.506613e-01   3.131520e-04   1.104153e-03   1.689404e-06   33422
  2.545365e-01   3.186482e-04   1.131527e-03   1.699886e-06   35298
  2.584714e-01   3.195813e-04   1.143069e-03   1.674103e-06   36650
  2.623670e-01   3.209615e-04   1.115532e-03   1.660260e-06   36888
