# power spectrum of phi_prime/H (dimensionless)
# redshift z=-0.004205
# k              Pk             sigma(k)       sigma(Pk)      count
  5.727314e-03   3.863680e-11   8.763345e-04   8.549905e-12   18
  1.001182e-02   6.409668e-11   1.059922e-03   9.129383e-12   62
  1.393445e-02   4.580670e-11   7.332271e-04   5.622759e-12   90
  1.764809e-02   4.408062e-11   1.157232e-03   2.906309e-12   170
  2.151286e-02   3.307465e-11   1.202795e-03   2.069475e-12   246
  2.528669e-02   2.501985e-11   1.146703e-03   1.398583e-12   338
  2.901099e-02   2.282247e-11   9.857564e-04   1.124653e-12   432
  3.284683e-02   1.824959e-11   1.010047e-03   8.310691e-13   578
  3.688195e-02   1.400132e-11   1.177086e-03   5.086667e-13   786
  4.101464e-02   1.089405e-11   1.190994e-03   3.492557e-13   974
  4.488954e-02   9.273690e-12   1.031402e-03   2.943410e-13   1002
  4.870958e-02   8.491815e-12   1.179303e-03   2.256849e-13   1334
  5.263577e-02   7.016026e-12   1.134676e-03   1.904765e-13   1458
  5.631027e-02   6.444647e-12   1.072446e-03   1.588714e-13   1604
  6.010158e-02   5.845201e-12   1.088865e-03   1.407336e-13   1974
  6.404851e-02   5.438812e-12   1.067989e-03   1.156546e-13   2234
  6.795611e-02   4.934658e-12   1.092954e-03   1.017835e-13   2490
  7.198483e-02   4.489100e-12   1.200217e-03   8.393474e-14   3014
  7.595394e-02   4.078276e-12   1.093611e-03   7.412748e-14   3018
  7.977896e-02   3.703870e-12   1.131598e-03   6.354827e-14   3446
  8.359600e-02   3.281538e-12   1.085617e-03   5.483608e-14   3626
  8.742004e-02   2.889825e-12   1.125556e-03   4.482424e-14   4164
  9.130612e-02   2.699337e-12   1.090740e-03   4.151275e-14   4470
  9.521636e-02   2.414991e-12   1.115446e-03   3.533455e-14   4970
  9.915211e-02   2.274338e-12   1.127844e-03   3.062674e-14   5366
  1.030785e-01   1.984897e-12   1.144516e-03   2.533032e-14   5778
  1.069619e-01   1.941848e-12   1.149148e-03   2.463506e-14   6162
  1.108671e-01   1.787664e-12   1.158272e-03   2.273891e-14   6734
  1.146806e-01   1.714724e-12   1.074898e-03   2.066979e-14   6756
  1.184510e-01   1.625021e-12   1.088568e-03   1.819962e-14   7502
  1.223464e-01   1.579961e-12   1.105366e-03   1.732047e-14   8154
  1.262469e-01   1.483225e-12   1.103283e-03   1.609667e-14   8618
  1.301909e-01   1.463334e-12   1.146655e-03   1.536710e-14   9390
  1.341197e-01   1.417114e-12   1.126004e-03   1.430976e-14   9722
  1.380051e-01   1.295027e-12   1.126950e-03   1.291791e-14   10242
  1.419007e-01   1.219098e-12   1.149257e-03   1.157431e-14   11006
  1.457777e-01   1.189598e-12   1.106962e-03   1.115047e-14   11348
  1.496576e-01   1.102927e-12   1.105725e-03   9.916449e-15   12150
  1.535164e-01   1.049524e-12   1.078348e-03   9.379991e-15   12498
  1.574072e-01   1.004103e-12   1.129889e-03   8.573384e-15   13586
  1.613096e-01   9.527664e-13   1.132072e-03   8.178338e-15   14006
  1.652381e-01   9.147658e-13   1.166232e-03   7.289263e-15   15162
  1.691226e-01   8.805143e-13   1.101754e-03   7.262591e-15   14990
  1.729750e-01   8.564331e-13   1.143142e-03   6.710536e-15   16380
  1.768610e-01   8.380216e-13   1.105581e-03   6.455329e-15   16666
  1.807168e-01   8.309971e-13   1.110348e-03   6.322280e-15   17638
  1.845996e-01   8.108983e-13   1.100521e-03   6.024991e-15   18354
  1.884710e-01   7.881627e-13   1.102640e-03   5.732463e-15   19034
  1.923685e-01   7.846341e-13   1.144302e-03   5.424230e-15   20270
  1.963174e-01   7.765031e-13   1.155956e-03   5.316709e-15   21258
  2.002141e-01   7.451322e-13   1.111898e-03   5.062190e-15   21350
  2.040863e-01   7.187776e-13   1.123159e-03   4.781793e-15   22644
  2.079681e-01   7.056645e-13   1.101476e-03   4.706414e-15   23114
  2.118390e-01   6.845922e-13   1.118265e-03   4.384699e-15   24342
  2.157382e-01   6.669806e-13   1.117694e-03   4.219439e-15   25194
  2.196235e-01   6.423985e-13   1.116195e-03   4.072231e-15   25982
  2.234724e-01   6.354808e-13   1.109599e-03   3.940105e-15   26506
  2.273806e-01   6.309514e-13   1.167806e-03   3.728800e-15   28738
  2.312750e-01   6.083794e-13   1.110542e-03   3.599046e-15   28296
  2.351662e-01   5.921414e-13   1.143823e-03   3.340218e-15   30554
  2.390501e-01   5.831680e-13   1.084103e-03   3.342604e-15   30094
  2.428824e-01   5.828393e-13   1.109820e-03   3.315240e-15   31738
  2.467836e-01   5.659416e-13   1.134747e-03   3.126193e-15   33306
  2.506613e-01   5.679798e-13   1.104153e-03   3.077793e-15   33422
  2.545365e-01   5.679522e-13   1.131527e-03   3.005969e-15   35298
  2.584714e-01   5.518476e-13   1.143069e-03   2.876442e-15   36650
  2.623670e-01   5.498156e-13   1.115532e-03   2.884117e-15   36888
  2.662651e-01   5.384949e-13   1.131896e-03   2.733681e-15   38834
  2.701697e-01   5.336739e-13   1.107355e-03   2.692395e-15   39246
  2.740453e-01   5.250194e-13   1.111777e-03   2.623522e-15   40466
  2.778984e-01   5.205168e-13   1.108403e-03   2.558010e-15   41106
  2.817847e-01   5.151188e-13   1.145602e-03   2.457045e-15   43598
  2.856833e-01   5.131748e-13   1.116308e-03   2.458353e-15   43650
  2.895471e-01   5.044803e-13   1.120907e-03   2.392608e-15   45272
  2.934575e-01   5.033450e-13   1.131740e-03   2.321668e-15   46994
  2.973636e-01   4.911467e-13   1.124346e-03   2.275272e-15   47850
  3.012447e-01   4.915048e-13   1.115858e-03   2.227676e-15   48846
  3.051030e-01   4.883193e-13   1.105642e-03   2.188349e-15   49706
  3.089532e-01   4.834581e-13   1.113265e-03   2.149959e-15   51198
  3.128464e-01   4.745549e-13   1.134266e-03   2.075014e-15   53402
  3.167281e-01   4.755596e-13   1.111145e-03   2.047912e-15   53634
  3.206428e-01   4.704098e-13   1.143806e-03   1.967874e-15   56888
  3.245618e-01   4.691504e-13   1.106794e-03   1.991200e-15   56474
  3.284581e-01   4.618039e-13   1.130606e-03   1.910624e-15   58962
  3.323510e-01   4.657387e-13   1.114731e-03   1.905414e-15   59214
  3.362265e-01   4.573599e-13   1.127963e-03   1.848121e-15   61250
  3.400938e-01   4.609710e-13   1.110759e-03   1.848206e-15   61694
  3.439480e-01   4.565002e-13   1.120230e-03   1.808283e-15   63618
  3.478512e-01   4.489791e-13   1.140078e-03   1.745089e-15   66284
  3.517691e-01   4.460365e-13   1.123324e-03   1.711800e-15   67014
  3.556494e-01   4.423859e-13   1.113722e-03   1.701813e-15   67930
  3.595371e-01   4.418787e-13   1.127426e-03   1.659206e-15   70294
  3.634200e-01   4.422430e-13   1.114424e-03   1.677981e-15   70658
  3.672742e-01   4.386399e-13   1.121955e-03   1.636074e-15   72522
  3.711539e-01   4.344538e-13   1.125103e-03   1.599241e-15   74550
  3.750359e-01   4.355946e-13   1.112832e-03   1.585375e-15   75674
  3.789191e-01   4.344067e-13   1.116846e-03   1.568124e-15   77708
  3.828461e-01   4.387371e-13   1.136191e-03   1.538040e-15   80622
  3.867545e-01   4.303967e-13   1.112810e-03   1.510488e-15   80330
  3.906423e-01   4.290590e-13   1.128269e-03   1.491474e-15   82974
  3.945313e-01   4.258604e-13   1.118618e-03   1.475941e-15   83666
  3.984084e-01   4.220682e-13   1.126394e-03   1.437917e-15   85746
  4.022765e-01   4.225640e-13   1.118427e-03   1.447398e-15   86702
  4.061542e-01   4.180672e-13   1.126154e-03   1.405473e-15   89556
  4.100569e-01   4.180390e-13   1.118519e-03   1.385020e-15   91038
  4.139484e-01   4.173345e-13   1.117921e-03   1.367599e-15   92522
  4.178268e-01   4.158743e-13   1.119569e-03   1.356870e-15   94034
  4.217415e-01   4.149638e-13   1.145339e-03   1.330674e-15   97758
  4.256173e-01   4.120779e-13   1.103600e-03   1.342892e-15   95770
  4.294627e-01   4.152947e-13   1.123790e-03   1.315215e-15   99646
  4.333400e-01   4.144088e-13   1.115333e-03   1.309762e-15   100980
  4.372362e-01   4.096467e-13   1.127284e-03   1.265912e-15   104258
  4.411386e-01   4.089175e-13   1.114910e-03   1.262048e-15   104998
  4.450377e-01   4.083567e-13   1.124073e-03   1.254077e-15   107866
  4.489311e-01   4.078981e-13   1.113184e-03   1.244041e-15   108154
  4.528161e-01   4.062940e-13   1.135370e-03   1.214583e-15   111622
  4.567076e-01   4.030533e-13   1.122976e-03   1.205566e-15   112146
  4.605727e-01   4.041797e-13   1.119518e-03   1.199541e-15   114014
  4.644440e-01   4.012478e-13   1.115906e-03   1.183134e-15   116220
  4.683319e-01   3.993382e-13   1.119789e-03   1.166013e-15   118682
  4.722291e-01   4.023558e-13   1.126606e-03   1.165610e-15   121118
  4.761348e-01   4.028109e-13   1.124808e-03   1.140033e-15   122994
  4.800157e-01   3.996061e-13   1.114862e-03   1.140649e-15   123574
  4.838959e-01   3.991406e-13   1.131276e-03   1.119400e-15   126922
  4.877763e-01   3.960318e-13   1.124735e-03   1.110884e-15   127906
  4.916481e-01   3.946537e-13   1.121767e-03   1.086977e-15   130432
  4.955333e-01   3.969099e-13   1.114812e-03   1.092525e-15   132642
  4.994186e-01   3.943076e-13   1.110800e-03   1.081954e-15   134534
  5.033164e-01   3.915463e-13   1.124671e-03   1.059543e-15   137778
  5.072392e-01   3.921284e-13   1.135312e-03   1.040351e-15   140786
  5.111285e-01   3.940202e-13   1.110620e-03   1.059122e-15   139590
  5.149976e-01   3.928989e-13   1.125619e-03   1.039325e-15   143546
  5.188865e-01   3.896485e-13   1.125142e-03   1.021549e-15   145338
  5.227635e-01   3.910785e-13   1.120484e-03   1.017517e-15   147272
  5.266520e-01   3.902489e-13   1.122335e-03   1.011689e-15   150330
  5.305485e-01   3.877558e-13   1.118234e-03   9.905955e-16   152318
  5.344262e-01   3.875472e-13   1.111066e-03   9.907310e-16   153202
  5.383243e-01   3.867881e-13   1.138693e-03   9.735822e-16   158626
  5.422165e-01   3.858650e-13   1.116855e-03   9.719729e-16   157350
  5.460935e-01   3.876862e-13   1.131200e-03   9.664529e-16   161906
  5.499589e-01   3.862996e-13   1.105071e-03   9.628677e-16   160872
  5.538418e-01   3.860508e-13   1.133375e-03   9.409603e-16   167858
  5.577463e-01   3.841106e-13   1.114977e-03   9.385787e-16   167514
  5.616201e-01   3.833256e-13   1.113803e-03   9.299021e-16   169862
  5.655108e-01   3.814614e-13   1.124453e-03   9.182983e-16   173602
  5.694083e-01   3.809035e-13   1.123533e-03   9.093326e-16   175258
  5.732959e-01   3.823367e-13   1.127164e-03   9.155160e-16   177654
