# power spectrum of phi
# redshift z=99.597220
# k              Pk             sigma(k)       sigma(Pk)      count
  5.011399e-03   3.393826e-10   7.667927e-04   7.522700e-11   18
  1.037418e-02   4.846186e-10   1.725047e-03   4.950829e-11   128
  1.616528e-02   3.958507e-10   1.646572e-03   2.103032e-11   314
  2.269071e-02   2.460476e-10   1.954354e-03   8.967413e-12   728
  2.897169e-02   1.824563e-10   1.717946e-03   6.286899e-12   1016
  3.518826e-02   1.170582e-10   1.880676e-03   2.910641e-12   1682
  4.169479e-02   8.785456e-11   1.831736e-03   1.813101e-12   2300
  4.790974e-02   6.415831e-11   1.770731e-03   1.204527e-12   2906
  5.429022e-02   5.250102e-11   1.892687e-03   8.635669e-13   4040
  6.068098e-02   4.340176e-11   1.775551e-03   6.546989e-13   4712
  6.698900e-02   3.730999e-11   1.857705e-03   4.812409e-13   6002
  7.346135e-02   3.054736e-11   1.857594e-03   3.658629e-13   7256
  7.977379e-02   2.590396e-11   1.772571e-03   2.921953e-13   8120
  8.609019e-02   2.092519e-11   1.864951e-03   2.111419e-13   9950
  9.253636e-02   1.721956e-11   1.853578e-03   1.590947e-13   11384
  9.885187e-02   1.407665e-11   1.809244e-03   1.273466e-13   12666
  1.052712e-01   1.202125e-11   1.889168e-03   9.617075e-14   15104
  1.117654e-01   1.044607e-11   1.850532e-03   8.200017e-14   16616
  1.180754e-01   9.536715e-12   1.799489e-03   7.168653e-14   18026
  1.244216e-01   8.475436e-12   1.853405e-03   5.799393e-14   20696
  1.308065e-01   7.540920e-12   1.827918e-03   5.087976e-14   22436
  1.371558e-01   6.846854e-12   1.845873e-03   4.389250e-14   24962
  1.435394e-01   5.974327e-12   1.831283e-03   3.595907e-14   27176
  1.499133e-01   5.172413e-12   1.847268e-03   3.014135e-14   29810
  1.562775e-01   4.549608e-12   1.828450e-03   2.567417e-14   32120
  1.626776e-01   4.007990e-12   1.865216e-03   2.135486e-14   35432
  1.690383e-01   3.659186e-12   1.814577e-03   1.897405e-14   37238
  1.754019e-01   3.341289e-12   1.856016e-03   1.647990e-14   41072
  1.817869e-01   3.046963e-12   1.834293e-03   1.476197e-14   43472
  1.881565e-01   2.844531e-12   1.848176e-03   1.316077e-14   47042
  1.945298e-01   2.657182e-12   1.829223e-03   1.205527e-14   49712
  2.008693e-01   2.421960e-12   1.840592e-03   1.060892e-14   53226
  2.072637e-01   2.163938e-12   1.853753e-03   9.018014e-15   57320
  2.136558e-01   1.984486e-12   1.831629e-03   8.139061e-15   60092
  2.200056e-01   1.815783e-12   1.839426e-03   7.208636e-15   63914
  2.263950e-01   1.653965e-12   1.849752e-03   6.318400e-15   68192
  2.327751e-01   1.530179e-12   1.833934e-03   5.742622e-15   71336
  2.391397e-01   1.416873e-12   1.845607e-03   5.149416e-15   75818
  2.455297e-01   1.323080e-12   1.844019e-03   4.695342e-15   79880
  2.518964e-01   1.245595e-12   1.834462e-03   4.300215e-15   83642
  2.582661e-01   1.171917e-12   1.840779e-03   3.934337e-15   88316
  2.646730e-01   1.089341e-12   1.859422e-03   3.574195e-15   93488
  2.710484e-01   1.012082e-12   1.827184e-03   3.258722e-15   96458
  2.773871e-01   9.423254e-13   1.829038e-03   3.001822e-15   101264
  2.837816e-01   8.743788e-13   1.862873e-03   2.658052e-15   107696
  2.901819e-01   8.103946e-13   1.837217e-03   2.432574e-15   111170
  2.965233e-01   7.705485e-13   1.822285e-03   2.266701e-15   115232
  3.028941e-01   7.220836e-13   1.855375e-03   2.067073e-15   122310
  3.093019e-01   6.791430e-13   1.843350e-03   1.907853e-15   126944
  3.156739e-01   6.450553e-13   1.828600e-03   1.781527e-15   131192
  3.220432e-01   6.098449e-13   1.844535e-03   1.653600e-15   137618
  3.284234e-01   5.757754e-13   1.836674e-03   1.523812e-15   142448
  3.347979e-01   5.399377e-13   1.844704e-03   1.398084e-15   148520
  3.411627e-01   5.109084e-13   1.831436e-03   1.315823e-15   153254
  3.475446e-01   4.837074e-13   1.852010e-03   1.211042e-15   160760
  3.539284e-01   4.512403e-13   1.835751e-03   1.102729e-15   165290
  3.603019e-01   4.309269e-13   1.840148e-03   1.040966e-15   171992
  3.666828e-01   4.088064e-13   1.840217e-03   9.736254e-16   177800
  3.730569e-01   3.895925e-13   1.843032e-03   9.107242e-16   184322
  3.794439e-01   3.701824e-13   1.841595e-03   8.514051e-16   190832
  3.858239e-01   3.515581e-13   1.839260e-03   7.988032e-16   196772
  3.921872e-01   3.362939e-13   1.836453e-03   7.486716e-16   202970
  3.985536e-01   3.209663e-13   1.839266e-03   7.009117e-16   210056
  4.049173e-01   3.058125e-13   1.832832e-03   6.579521e-16   216210
  4.112896e-01   2.909319e-13   1.841640e-03   6.131953e-16   224168
  4.176700e-01   2.754452e-13   1.840761e-03   5.763619e-16   230792
  4.240565e-01   2.647709e-13   1.846256e-03   5.432148e-16   238778
  4.304312e-01   2.508976e-13   1.831772e-03   5.075005e-16   243956
  4.367939e-01   2.415352e-13   1.845141e-03   4.804923e-16   252680
  4.431746e-01   2.307116e-13   1.842020e-03   4.531641e-16   260066
  4.495713e-01   2.210834e-13   1.849294e-03   4.265969e-16   268712
  4.559494e-01   2.124826e-13   1.834336e-03   4.059175e-16   274034
  4.623270e-01   2.016518e-13   1.847366e-03   3.791978e-16   283904
  4.687088e-01   1.937848e-13   1.837425e-03   3.594576e-16   290048
  4.750707e-01   1.852651e-13   1.836659e-03   3.409978e-16   297950
  4.814434e-01   1.782252e-13   1.842026e-03   3.240564e-16   306968
  4.878269e-01   1.722714e-13   1.843240e-03   3.076098e-16   315320
  4.942006e-01   1.637730e-13   1.835899e-03   2.883632e-16   322346
  5.005701e-01   1.578798e-13   1.842589e-03   2.736579e-16   331664
  5.069538e-01   1.514184e-13   1.844896e-03   2.589205e-16   340818
  5.133346e-01   1.466974e-13   1.837322e-03   2.486492e-16   348164
  5.197083e-01   1.407499e-13   1.843548e-03   2.353957e-16   357584
  5.260929e-01   1.353578e-13   1.846059e-03   2.229042e-16   367106
  5.324635e-01   1.303652e-13   1.832285e-03   2.128236e-16   373376
  5.388350e-01   1.252762e-13   1.848023e-03   2.013116e-16   385376
  5.452233e-01   1.210231e-13   1.842356e-03   1.928817e-16   393650
