# power spectrum of zeta (dimensionless)
# redshift z=99.597220
# k              Pk             sigma(k)       sigma(Pk)      count
  5.011399e-03   5.587821e-22   7.667927e-04   1.102333e-22   18
  1.037418e-02   1.634920e-20   1.725047e-03   1.891259e-21   128
  1.616528e-02   7.281290e-20   1.646572e-03   4.112967e-21   314
  2.269071e-02   1.753466e-19   1.954354e-03   6.797351e-21   728
  2.897169e-02   3.374303e-19   1.717946e-03   1.133215e-20   1016
  3.518826e-02   4.704248e-19   1.880676e-03   1.160227e-20   1682
  4.169479e-02   7.057806e-19   1.831736e-03   1.487156e-20   2300
  4.790974e-02   8.927985e-19   1.770731e-03   1.677470e-20   2906
  5.429022e-02   1.194560e-18   1.892687e-03   1.969648e-20   4040
  6.068098e-02   1.525041e-18   1.775551e-03   2.303198e-20   4712
  6.698900e-02   1.937627e-18   1.857705e-03   2.491347e-20   6002
  7.346135e-02   2.287209e-18   1.857594e-03   2.717249e-20   7256
  7.977379e-02   2.716442e-18   1.772571e-03   3.065909e-20   8120
  8.609019e-02   2.989759e-18   1.864951e-03   2.999427e-20   9950
  9.253636e-02   3.305503e-18   1.853578e-03   3.056020e-20   11384
  9.885187e-02   3.525864e-18   1.809244e-03   3.168112e-20   12666
  1.052712e-01   3.876058e-18   1.889168e-03   3.107366e-20   15104
  1.117654e-01   4.261707e-18   1.850532e-03   3.344614e-20   16616
  1.180754e-01   4.818876e-18   1.799489e-03   3.617791e-20   18026
  1.244216e-01   5.264403e-18   1.853405e-03   3.607430e-20   20696
  1.308065e-01   5.699167e-18   1.827918e-03   3.834402e-20   22436
  1.371558e-01   6.257153e-18   1.845873e-03   3.997661e-20   24962
  1.435394e-01   6.566493e-18   1.831283e-03   3.940228e-20   27176
  1.499133e-01   6.790765e-18   1.847268e-03   3.952042e-20   29810
  1.562775e-01   7.082529e-18   1.828450e-03   4.001415e-20   32120
  1.626776e-01   7.337657e-18   1.865216e-03   3.908647e-20   35432
  1.690383e-01   7.811970e-18   1.814577e-03   4.055064e-20   37238
  1.754019e-01   8.242914e-18   1.856016e-03   4.068120e-20   41072
  1.817869e-01   8.645522e-18   1.834293e-03   4.189659e-20   43472
  1.881565e-01   9.232007e-18   1.848176e-03   4.268915e-20   47042
  1.945298e-01   9.839078e-18   1.829223e-03   4.456642e-20   49712
  2.008693e-01   1.019478e-17   1.840592e-03   4.461947e-20   53226
  2.072637e-01   1.033962e-17   1.853753e-03   4.305597e-20   57320
  2.136558e-01   1.072889e-17   1.831629e-03   4.396991e-20   60092
  2.200056e-01   1.105889e-17   1.839426e-03   4.385798e-20   63914
  2.263950e-01   1.130688e-17   1.849752e-03   4.313550e-20   68192
  2.327751e-01   1.168766e-17   1.833934e-03   4.382633e-20   71336
  2.391397e-01   1.204174e-17   1.845607e-03   4.374360e-20   75818
  2.455297e-01   1.247072e-17   1.844019e-03   4.425755e-20   79880
  2.518964e-01   1.298465e-17   1.834462e-03   4.480238e-20   83642
  2.582661e-01   1.348724e-17   1.840779e-03   4.527291e-20   88316
  2.646730e-01   1.382455e-17   1.859422e-03   4.535262e-20   93488
  2.710484e-01   1.413366e-17   1.827184e-03   4.547413e-20   96458
  2.773871e-01   1.444844e-17   1.829038e-03   4.602444e-20   101264
  2.837816e-01   1.470003e-17   1.862873e-03   4.468716e-20   107696
  2.901819e-01   1.489777e-17   1.837217e-03   4.469609e-20   111170
  2.965233e-01   1.544609e-17   1.822285e-03   4.541835e-20   115232
  3.028941e-01   1.574478e-17   1.855375e-03   4.504143e-20   122310
  3.093019e-01   1.608737e-17   1.843350e-03   4.517073e-20   126944
  3.156739e-01   1.656857e-17   1.828600e-03   4.576884e-20   131192
  3.220432e-01   1.695049e-17   1.844535e-03   4.596236e-20   137618
  3.284234e-01   1.730253e-17   1.836674e-03   4.579633e-20   142448
  3.347979e-01   1.751975e-17   1.844704e-03   4.535496e-20   148520
  3.411627e-01   1.788099e-17   1.831436e-03   4.602235e-20   153254
  3.475446e-01   1.823738e-17   1.852010e-03   4.565415e-20   160760
  3.539284e-01   1.829876e-17   1.835751e-03   4.471131e-20   165290
  3.603019e-01   1.876535e-17   1.840148e-03   4.533898e-20   171992
  3.666828e-01   1.908660e-17   1.840217e-03   4.544486e-20   177800
  3.730569e-01   1.947718e-17   1.843032e-03   4.553834e-20   184322
  3.794439e-01   1.979744e-17   1.841595e-03   4.552243e-20   190832
  3.858239e-01   2.008426e-17   1.839260e-03   4.562165e-20   196772
  3.921872e-01   2.050273e-17   1.836453e-03   4.564844e-20   202970
  3.985536e-01   2.086424e-17   1.839266e-03   4.556113e-20   210056
  4.049173e-01   2.117444e-17   1.832832e-03   4.553816e-20   216210
  4.112896e-01   2.144559e-17   1.841640e-03   4.519677e-20   224168
  4.176700e-01   2.158881e-17   1.840761e-03   4.515933e-20   230792
  4.240565e-01   2.204344e-17   1.846256e-03   4.521875e-20   238778
  4.304312e-01   2.216681e-17   1.831772e-03   4.482953e-20   243956
  4.367939e-01   2.261959e-17   1.845141e-03   4.498736e-20   252680
  4.431746e-01   2.288174e-17   1.842020e-03   4.492443e-20   260066
  4.495713e-01   2.321121e-17   1.849294e-03   4.477456e-20   268712
  4.559494e-01   2.359306e-17   1.834336e-03   4.506264e-20   274034
  4.623270e-01   2.365891e-17   1.847366e-03   4.448458e-20   283904
  4.687088e-01   2.401050e-17   1.837425e-03   4.452001e-20   290048
  4.750707e-01   2.422266e-17   1.836659e-03   4.457839e-20   297950
  4.814434e-01   2.456832e-17   1.842026e-03   4.465445e-20   306968
  4.878269e-01   2.502440e-17   1.843240e-03   4.467381e-20   315320
  4.942006e-01   2.505030e-17   1.835899e-03   4.410388e-20   322346
  5.005701e-01   2.540585e-17   1.842589e-03   4.403214e-20   331664
  5.069538e-01   2.562190e-17   1.844896e-03   4.380889e-20   340818
  5.133346e-01   2.608459e-17   1.837322e-03   4.420617e-20   348164
  5.197083e-01   2.628271e-17   1.843548e-03   4.395696e-20   357584
  5.260929e-01   2.652822e-17   1.846059e-03   4.368331e-20   367106
  5.324635e-01   2.680216e-17   1.832285e-03   4.375940e-20   373376
  5.388350e-01   2.699642e-17   1.848023e-03   4.337330e-20   385376
  5.452233e-01   2.732846e-17   1.842356e-03   4.355081e-20   393650
  5.516038e-01   2.749424e-17   1.840588e-03   4.327797e-20   402704
  5.579656e-01   2.775613e-17   1.830970e-03   4.338983e-20   409910
  5.643320e-01   2.809213e-17   1.843407e-03   4.341399e-20   422024
  5.707212e-01   2.824985e-17   1.846526e-03   4.286767e-20   432176
  5.771022e-01   2.858193e-17   1.837404e-03   4.319758e-20   440066
  5.834769e-01   2.888766e-17   1.841263e-03   4.296021e-20   450680
  5.898365e-01   2.906078e-17   1.831084e-03   4.297809e-20   457856
  5.962115e-01   2.942696e-17   1.848347e-03   4.263484e-20   472538
  6.026013e-01   2.970974e-17   1.839689e-03   4.295576e-20   480140
  6.089752e-01   2.984132e-17   1.841279e-03   4.268736e-20   490842
