# power spectrum of phi_prime/H (dimensionless)
# redshift z=48.322258
# k              Pk             sigma(k)       sigma(Pk)      count
  5.011399e-03   2.217729e-14   7.667927e-04   7.058838e-15   18
  1.037418e-02   2.759619e-14   1.725047e-03   2.829942e-15   128
  1.616528e-02   3.222814e-14   1.646572e-03   1.685683e-15   314
  2.269071e-02   2.266874e-14   1.954354e-03   8.140753e-16   728
  2.897169e-02   1.845806e-14   1.717946e-03   6.345712e-16   1016
  3.518826e-02   1.260852e-14   1.880676e-03   3.095444e-16   1682
  4.169479e-02   1.029848e-14   1.831736e-03   2.176907e-16   2300
  4.790974e-02   7.946583e-15   1.770731e-03   1.507967e-16   2906
  5.429022e-02   7.107171e-15   1.892687e-03   1.168779e-16   4040
  6.068098e-02   6.017846e-15   1.775551e-03   9.060419e-17   4712
  6.698900e-02   5.828745e-15   1.857705e-03   7.288333e-17   6002
  7.346135e-02   5.172517e-15   1.857594e-03   6.291278e-17   7256
  7.977379e-02   4.843711e-15   1.772571e-03   5.392220e-17   8120
  8.609019e-02   4.484198e-15   1.864951e-03   4.513306e-17   9950
  9.253636e-02   4.169783e-15   1.853578e-03   3.850773e-17   11384
  9.885187e-02   3.829662e-15   1.809244e-03   3.430175e-17   12666
  1.052712e-01   3.682265e-15   1.889168e-03   2.976439e-17   15104
  1.117654e-01   3.537610e-15   1.850532e-03   2.758594e-17   16616
  1.180754e-01   3.561150e-15   1.799489e-03   2.686453e-17   18026
  1.244216e-01   3.417962e-15   1.853405e-03   2.384383e-17   20696
  1.308065e-01   3.308577e-15   1.827918e-03   2.229295e-17   22436
  1.371558e-01   3.297081e-15   1.845873e-03   2.163244e-17   24962
  1.435394e-01   3.216725e-15   1.831283e-03   1.999985e-17   27176
  1.499133e-01   3.123504e-15   1.847268e-03   1.841029e-17   29810
  1.562775e-01   3.098273e-15   1.828450e-03   1.756421e-17   32120
  1.626776e-01   3.010156e-15   1.865216e-03   1.614514e-17   35432
  1.690383e-01   3.028550e-15   1.814577e-03   1.630296e-17   37238
  1.754019e-01   2.988452e-15   1.856016e-03   1.509396e-17   41072
  1.817869e-01   2.909900e-15   1.834293e-03   1.422861e-17   43472
  1.881565e-01   2.878911e-15   1.848176e-03   1.354372e-17   47042
  1.945298e-01   2.903359e-15   1.829223e-03   1.340124e-17   49712
  2.008693e-01   2.826808e-15   1.840592e-03   1.277212e-17   53226
  2.072637e-01   2.858166e-15   1.853753e-03   1.233577e-17   57320
  2.136558e-01   2.843265e-15   1.831629e-03   1.208827e-17   60092
  2.200056e-01   2.763632e-15   1.839426e-03   1.141931e-17   63914
  2.263950e-01   2.739337e-15   1.849752e-03   1.114846e-17   68192
  2.327751e-01   2.713371e-15   1.833934e-03   1.060801e-17   71336
  2.391397e-01   2.689418e-15   1.845607e-03   1.024210e-17   75818
  2.455297e-01   2.660861e-15   1.844019e-03   9.914224e-18   79880
  2.518964e-01   2.644572e-15   1.834462e-03   9.581462e-18   83642
  2.582661e-01   2.624138e-15   1.840779e-03   9.415728e-18   88316
  2.646730e-01   2.605119e-15   1.859422e-03   9.002900e-18   93488
  2.710484e-01   2.594007e-15   1.827184e-03   8.896427e-18   96458
  2.773871e-01   2.567685e-15   1.829038e-03   8.637226e-18   101264
  2.837816e-01   2.517170e-15   1.862873e-03   8.127623e-18   107696
  2.901819e-01   2.511755e-15   1.837217e-03   8.143012e-18   111170
  2.965233e-01   2.509239e-15   1.822285e-03   7.966183e-18   115232
  3.028941e-01   2.454208e-15   1.855375e-03   7.519671e-18   122310
  3.093019e-01   2.442640e-15   1.843350e-03   7.458443e-18   126944
  3.156739e-01   2.407163e-15   1.828600e-03   7.233198e-18   131192
  3.220432e-01   2.400966e-15   1.844535e-03   7.007411e-18   137618
  3.284234e-01   2.374288e-15   1.836674e-03   6.845712e-18   142448
  3.347979e-01   2.362904e-15   1.844704e-03   6.655480e-18   148520
  3.411627e-01   2.352965e-15   1.831436e-03   6.567625e-18   153254
  3.475446e-01   2.329291e-15   1.852010e-03   6.338009e-18   160760
  3.539284e-01   2.295306e-15   1.835751e-03   6.202125e-18   165290
  3.603019e-01   2.282743e-15   1.840148e-03   6.079277e-18   171992
  3.666828e-01   2.264038e-15   1.840217e-03   5.885228e-18   177800
  3.730569e-01   2.263372e-15   1.843032e-03   5.819845e-18   184322
  3.794439e-01   2.253132e-15   1.841595e-03   5.733474e-18   190832
  3.858239e-01   2.217793e-15   1.839260e-03   5.563033e-18   196772
  3.921872e-01   2.207033e-15   1.836453e-03   5.407983e-18   202970
  3.985536e-01   2.201643e-15   1.839266e-03   5.379241e-18   210056
  4.049173e-01   2.174540e-15   1.832832e-03   5.244439e-18   216210
  4.112896e-01   2.159282e-15   1.841640e-03   5.111538e-18   224168
  4.176700e-01   2.135428e-15   1.840761e-03   4.986338e-18   230792
  4.240565e-01   2.118167e-15   1.846256e-03   4.888622e-18   238778
  4.304312e-01   2.120300e-15   1.831772e-03   4.832599e-18   243956
  4.367939e-01   2.085210e-15   1.845141e-03   4.705483e-18   252680
  4.431746e-01   2.074931e-15   1.842020e-03   4.597407e-18   260066
  4.495713e-01   2.068027e-15   1.849294e-03   4.511657e-18   268712
  4.559494e-01   2.046819e-15   1.834336e-03   4.414353e-18   274034
  4.623270e-01   2.040084e-15   1.847366e-03   4.344578e-18   283904
  4.687088e-01   2.017777e-15   1.837425e-03   4.236135e-18   290048
  4.750707e-01   2.006935e-15   1.836659e-03   4.183921e-18   297950
  4.814434e-01   1.993898e-15   1.842026e-03   4.089216e-18   306968
  4.878269e-01   1.976221e-15   1.843240e-03   4.016837e-18   315320
  4.942006e-01   1.968973e-15   1.835899e-03   3.975312e-18   322346
  5.005701e-01   1.957612e-15   1.842589e-03   3.880397e-18   331664
  5.069538e-01   1.945354e-15   1.844896e-03   3.831488e-18   340818
  5.133346e-01   1.932331e-15   1.837322e-03   3.734607e-18   348164
  5.197083e-01   1.911849e-15   1.843548e-03   3.663698e-18   357584
  5.260929e-01   1.908250e-15   1.846059e-03   3.619026e-18   367106
  5.324635e-01   1.891716e-15   1.832285e-03   3.567058e-18   373376
  5.388350e-01   1.881209e-15   1.848023e-03   3.493322e-18   385376
  5.452233e-01   1.874526e-15   1.842356e-03   3.472256e-18   393650
  5.516038e-01   1.858013e-15   1.840588e-03   3.375951e-18   402704
  5.579656e-01   1.839820e-15   1.830970e-03   3.316402e-18   409910
  5.643320e-01   1.830592e-15   1.843407e-03   3.265524e-18   422024
  5.707212e-01   1.811425e-15   1.846526e-03   3.195650e-18   432176
  5.771022e-01   1.813315e-15   1.837404e-03   3.172164e-18   440066
  5.834769e-01   1.795289e-15   1.841263e-03   3.112326e-18   450680
  5.898365e-01   1.783895e-15   1.831084e-03   3.063914e-18   457856
  5.962115e-01   1.775500e-15   1.848347e-03   3.009323e-18   472538
  6.026013e-01   1.761351e-15   1.839689e-03   2.960477e-18   480140
  6.089752e-01   1.749858e-15   1.841279e-03   2.902717e-18   490842
  6.153517e-01   1.736021e-15   1.838382e-03   2.860338e-18   500744
  6.217295e-01   1.726518e-15   1.842392e-03   2.815655e-18   511856
  6.281145e-01   1.715155e-15   1.844734e-03   2.774107e-18   523202
  6.344991e-01   1.713180e-15   1.840396e-03   2.763212e-18   532688
  6.408638e-01   1.704216e-15   1.834541e-03   2.722551e-18   541520
  6.472341e-01   1.692277e-15   1.842653e-03   2.670767e-18   555110
  6.536136e-01   1.677947e-15   1.839126e-03   2.634918e-18   564944
  6.599884e-01   1.668487e-15   1.839832e-03   2.573645e-18   576434
  6.663740e-01   1.667181e-15   1.844405e-03   2.560469e-18   588848
  6.727501e-01   1.652969e-15   1.838623e-03   2.514587e-18   597704
  6.791236e-01   1.642893e-15   1.842386e-03   2.489761e-18   610946
