# power spectrum of delta_kessence
# redshift z=9.836500
# k              Pk             sigma(k)       sigma(Pk)      count
  5.011399e-03   7.279077e-10   7.667927e-04   1.386315e-10   18
  1.037418e-02   1.750037e-08   1.725047e-03   2.009288e-09   128
  1.616528e-02   7.568054e-08   1.646572e-03   4.265373e-09   314
  2.269071e-02   1.795145e-07   1.954354e-03   6.950338e-09   728
  2.897169e-02   3.420733e-07   1.717946e-03   1.148619e-08   1016
  3.518826e-02   4.739537e-07   1.880676e-03   1.169250e-08   1682
  4.169479e-02   7.093667e-07   1.831736e-03   1.493430e-08   2300
  4.790974e-02   9.001296e-07   1.770731e-03   1.691202e-08   2906
  5.429022e-02   1.209986e-06   1.892687e-03   1.994173e-08   4040
  6.068098e-02   1.555759e-06   1.775551e-03   2.348494e-08   4712
  6.698900e-02   1.981088e-06   1.857705e-03   2.549974e-08   6002
  7.346135e-02   2.338127e-06   1.857594e-03   2.779169e-08   7256
  7.977379e-02   2.767420e-06   1.772571e-03   3.125662e-08   8120
  8.609019e-02   3.026153e-06   1.864951e-03   3.035744e-08   9950
  9.253636e-02   3.325388e-06   1.853578e-03   3.074805e-08   11384
  9.885187e-02   3.533333e-06   1.809244e-03   3.176313e-08   12666
  1.052712e-01   3.884213e-06   1.889168e-03   3.115381e-08   15104
  1.117654e-01   4.279873e-06   1.850532e-03   3.360788e-08   16616
  1.180754e-01   4.858009e-06   1.799489e-03   3.646410e-08   18026
  1.244216e-01   5.323595e-06   1.853405e-03   3.648451e-08   20696
  1.308065e-01   5.770455e-06   1.827918e-03   3.882801e-08   22436
  1.371558e-01   6.322728e-06   1.845873e-03   4.034451e-08   24962
  1.435394e-01   6.612981e-06   1.831283e-03   3.965569e-08   27176
  1.499133e-01   6.804272e-06   1.847268e-03   3.959403e-08   29810
  1.562775e-01   7.064996e-06   1.828450e-03   3.989072e-08   32120
  1.626776e-01   7.303131e-06   1.865216e-03   3.891109e-08   35432
  1.690383e-01   7.760634e-06   1.814577e-03   4.022802e-08   37238
  1.754019e-01   8.195615e-06   1.856016e-03   4.047112e-08   41072
  1.817869e-01   8.610985e-06   1.834293e-03   4.173277e-08   43472
  1.881565e-01   9.207308e-06   1.848176e-03   4.257194e-08   47042
  1.945298e-01   9.797461e-06   1.829223e-03   4.444315e-08   49712
  2.008693e-01   1.014993e-05   1.840592e-03   4.437204e-08   53226
  2.072637e-01   1.024952e-05   1.853753e-03   4.269726e-08   57320
  2.136558e-01   1.059393e-05   1.831629e-03   4.340671e-08   60092
  2.200056e-01   1.088214e-05   1.839426e-03   4.316751e-08   63914
  2.263950e-01   1.109529e-05   1.849752e-03   4.230866e-08   68192
  2.327751e-01   1.144409e-05   1.833934e-03   4.289151e-08   71336
  2.391397e-01   1.178836e-05   1.845607e-03   4.282151e-08   75818
  2.455297e-01   1.220801e-05   1.844019e-03   4.336024e-08   79880
  2.518964e-01   1.269051e-05   1.834462e-03   4.379307e-08   83642
  2.582661e-01   1.318127e-05   1.840779e-03   4.429693e-08   88316
  2.646730e-01   1.347514e-05   1.859422e-03   4.422273e-08   93488
  2.710484e-01   1.373123e-05   1.827184e-03   4.423966e-08   96458
  2.773871e-01   1.398599e-05   1.829038e-03   4.450847e-08   101264
  2.837816e-01   1.417583e-05   1.862873e-03   4.312576e-08   107696
  2.901819e-01   1.434556e-05   1.837217e-03   4.307715e-08   111170
  2.965233e-01   1.481925e-05   1.822285e-03   4.364594e-08   115232
  3.028941e-01   1.508687e-05   1.855375e-03   4.313726e-08   122310
  3.093019e-01   1.537840e-05   1.843350e-03   4.319759e-08   126944
  3.156739e-01   1.580595e-05   1.828600e-03   4.368762e-08   131192
  3.220432e-01   1.612335e-05   1.844535e-03   4.372086e-08   137618
  3.284234e-01   1.644098e-05   1.836674e-03   4.350219e-08   142448
  3.347979e-01   1.658431e-05   1.844704e-03   4.294957e-08   148520
  3.411627e-01   1.685249e-05   1.831436e-03   4.337729e-08   153254
  3.475446e-01   1.714342e-05   1.852010e-03   4.287373e-08   160760
  3.539284e-01   1.715915e-05   1.835751e-03   4.194403e-08   165290
  3.603019e-01   1.755909e-05   1.840148e-03   4.241586e-08   171992
  3.666828e-01   1.779405e-05   1.840217e-03   4.239964e-08   177800
  3.730569e-01   1.810104e-05   1.843032e-03   4.225901e-08   184322
  3.794439e-01   1.834855e-05   1.841595e-03   4.216941e-08   190832
  3.858239e-01   1.855977e-05   1.839260e-03   4.215572e-08   196772
  3.921872e-01   1.891043e-05   1.836453e-03   4.209470e-08   202970
  3.985536e-01   1.916123e-05   1.839266e-03   4.190250e-08   210056
  4.049173e-01   1.938634e-05   1.832832e-03   4.174782e-08   216210
  4.112896e-01   1.953983e-05   1.841640e-03   4.119579e-08   224168
  4.176700e-01   1.959983e-05   1.840761e-03   4.100127e-08   230792
  4.240565e-01   1.996536e-05   1.846256e-03   4.097325e-08   238778
  4.304312e-01   1.999913e-05   1.831772e-03   4.044271e-08   243956
  4.367939e-01   2.033073e-05   1.845141e-03   4.045467e-08   252680
  4.431746e-01   2.052601e-05   1.842020e-03   4.034681e-08   260066
  4.495713e-01   2.073489e-05   1.849294e-03   4.001447e-08   268712
  4.559494e-01   2.097318e-05   1.834336e-03   4.004794e-08   274034
  4.623270e-01   2.097617e-05   1.847366e-03   3.942811e-08   283904
  4.687088e-01   2.119525e-05   1.837425e-03   3.934969e-08   290048
  4.750707e-01   2.129376e-05   1.836659e-03   3.919161e-08   297950
  4.814434e-01   2.152366e-05   1.842026e-03   3.912529e-08   306968
  4.878269e-01   2.184116e-05   1.843240e-03   3.901263e-08   315320
  4.942006e-01   2.176937e-05   1.835899e-03   3.836117e-08   322346
  5.005701e-01   2.199226e-05   1.842589e-03   3.812319e-08   331664
  5.069538e-01   2.208798e-05   1.844896e-03   3.778040e-08   340818
  5.133346e-01   2.239174e-05   1.837322e-03   3.795678e-08   348164
  5.197083e-01   2.248170e-05   1.843548e-03   3.760194e-08   357584
  5.260929e-01   2.261515e-05   1.846059e-03   3.725058e-08   367106
  5.324635e-01   2.269131e-05   1.832285e-03   3.702957e-08   373376
  5.388350e-01   2.277548e-05   1.848023e-03   3.661381e-08   385376
  5.452233e-01   2.295554e-05   1.842356e-03   3.653249e-08   393650
  5.516038e-01   2.299332e-05   1.840588e-03   3.621812e-08   402704
  5.579656e-01   2.309664e-05   1.830970e-03   3.606691e-08   409910
  5.643320e-01   2.328361e-05   1.843407e-03   3.595104e-08   422024
  5.707212e-01   2.329923e-05   1.846526e-03   3.538787e-08   432176
  5.771022e-01   2.344622e-05   1.837404e-03   3.542842e-08   440066
  5.834769e-01   2.355896e-05   1.841263e-03   3.508390e-08   450680
  5.898365e-01   2.363410e-05   1.831084e-03   3.493246e-08   457856
  5.962115e-01   2.378815e-05   1.848347e-03   3.451808e-08   472538
  6.026013e-01   2.392620e-05   1.839689e-03   3.454990e-08   480140
  6.089752e-01   2.390001e-05   1.841279e-03   3.419515e-08   490842
  6.153517e-01   2.405030e-05   1.838382e-03   3.400870e-08   500744
  6.217295e-01   2.406220e-05   1.842392e-03   3.361875e-08   511856
  6.281145e-01   2.416608e-05   1.844734e-03   3.343508e-08   523202
  6.344991e-01   2.424113e-05   1.840396e-03   3.332517e-08   532688
  6.408638e-01   2.430652e-05   1.834541e-03   3.317821e-08   541520
  6.472341e-01   2.435764e-05   1.842653e-03   3.278846e-08   555110
  6.536136e-01   2.440044e-05   1.839126e-03   3.238472e-08   564944
  6.599884e-01   2.435282e-05   1.839832e-03   3.219398e-08   576434
  6.663740e-01   2.443785e-05   1.844405e-03   3.188938e-08   588848
  6.727501e-01   2.450348e-05   1.838623e-03   3.173809e-08   597704
  6.791236e-01   2.455605e-05   1.842386e-03   3.151780e-08   610946
  6.855006e-01   2.462270e-05   1.837794e-03   3.127075e-08   620852
  6.918722e-01   2.459934e-05   1.841901e-03   3.101659e-08   633530
  6.982524e-01   2.460940e-05   1.841844e-03   3.069480e-08   645704
  7.046316e-01   2.466452e-05   1.840565e-03   3.052449e-08   656744
  7.110074e-01   2.472921e-05   1.841941e-03   3.027024e-08   669162
  7.173906e-01   2.476776e-05   1.843286e-03   2.997280e-08   681992
  7.237681e-01   2.472360e-05   1.838959e-03   2.983398e-08   692360
  7.301485e-01   2.473893e-05   1.844364e-03   2.948891e-08   707006
  7.365206e-01   2.473716e-05   1.834135e-03   2.925765e-08   714944
  7.428835e-01   2.485735e-05   1.841775e-03   2.909850e-08   730346
  7.492606e-01   2.482081e-05   1.838962e-03   2.889507e-08   742616
  7.556415e-01   2.481368e-05   1.843530e-03   2.854460e-08   756536
  7.620128e-01   2.476224e-05   1.836595e-03   2.834489e-08   766418
  7.683917e-01   2.473810e-05   1.845753e-03   2.793391e-08   783392
  7.747614e-01   2.477277e-05   1.833632e-03   2.791694e-08   790412
  7.811334e-01   2.474566e-05   1.848120e-03   2.749000e-08   810314
  7.875277e-01   2.475847e-05   1.843702e-03   2.733305e-08   821960
  7.938987e-01   2.478404e-05   1.834976e-03   2.717757e-08   831266
  8.002712e-01   2.464358e-05   1.843706e-03   2.680020e-08   848960
  8.066557e-01   2.465420e-05   1.842629e-03   2.663448e-08   861488
  8.130204e-01   2.464559e-05   1.833334e-03   2.652998e-08   871194
  8.193985e-01   2.459288e-05   1.847247e-03   2.603040e-08   891788
  8.257796e-01   2.455937e-05   1.838008e-03   2.590971e-08   900416
  8.321422e-01   2.459431e-05   1.836250e-03   2.570700e-08   914306
  8.385264e-01   2.451868e-05   1.847988e-03   2.539514e-08   933992
  8.449011e-01   2.446243e-05   1.834294e-03   2.526092e-08   940826
  8.512701e-01   2.448120e-05   1.842364e-03   2.507617e-08   960224
  8.576621e-01   2.439883e-05   1.846556e-03   2.473781e-08   976316
  8.640381e-01   2.434114e-05   1.835724e-03   2.453792e-08   985010
  8.704114e-01   2.430601e-05   1.843336e-03   2.429988e-08   1004024
  8.767898e-01   2.419834e-05   1.839706e-03   2.413336e-08   1016288
  8.831639e-01   2.423654e-05   1.840690e-03   2.389283e-08   1032290
  8.895470e-01   2.413436e-05   1.843156e-03   2.362571e-08   1048640
  8.959130e-01   2.403322e-05   1.831919e-03   2.337767e-08   1057250
  9.022937e-01   2.407163e-05   1.849588e-03   2.314521e-08   1083140
  9.086870e-01   2.400687e-05   1.840763e-03   2.308017e-08   1092248
  9.150555e-01   2.389032e-05   1.837510e-03   2.278138e-08   1105914
  9.214310e-01   2.381012e-05   1.841822e-03   2.247761e-08   1124744
  9.278120e-01   2.380042e-05   1.841202e-03   2.235173e-08   1139120
  9.341841e-01   2.373523e-05   1.838536e-03   2.211401e-08   1153490
  9.405650e-01   2.364851e-05   1.844187e-03   2.191012e-08   1172936
  9.469357e-01   2.359783e-05   1.834491e-03   2.179344e-08   1182158
  9.533110e-01   2.348561e-05   1.846126e-03   2.137340e-08   1206392
  9.596894e-01   2.336019e-05   1.835525e-03   2.119224e-08   1215224
  9.660641e-01   2.333178e-05   1.844936e-03   2.097986e-08   1237874
  9.724505e-01   2.326459e-05   1.841050e-03   2.084160e-08   1251800
  9.788233e-01   2.311911e-05   1.838619e-03   2.060507e-08   1265792
  9.851993e-01   2.313031e-05   1.843109e-03   2.048533e-08   1286306
  9.915793e-01   2.300055e-05   1.838809e-03   2.024401e-08   1299764
  9.979438e-01   2.293358e-05   1.836769e-03   2.004987e-08   1314554
  1.004319e+00   2.281952e-05   1.843595e-03   1.977427e-08   1337288
  1.010703e+00   2.275792e-05   1.840912e-03   1.959990e-08   1351304
  1.017077e+00   2.263678e-05   1.841769e-03   1.933880e-08   1369026
  1.023461e+00   2.255855e-05   1.843478e-03   1.919897e-08   1388456
  1.029842e+00   2.248427e-05   1.840406e-03   1.908009e-08   1402700
  1.036211e+00   2.237966e-05   1.837802e-03   1.886472e-08   1418282
  1.042587e+00   2.230514e-05   1.843596e-03   1.864515e-08   1440272
  1.048964e+00   2.219839e-05   1.838705e-03   1.845155e-08   1454114
  1.055341e+00   2.208023e-05   1.842603e-03   1.821321e-08   1475480
  1.061720e+00   2.202814e-05   1.840520e-03   1.805866e-08   1490936
  1.068091e+00   2.185772e-05   1.838519e-03   1.784788e-08   1507826
  1.074472e+00   2.182405e-05   1.844275e-03   1.772570e-08   1530764
  1.080850e+00   2.163891e-05   1.839052e-03   1.745505e-08   1543424
  1.087222e+00   2.160204e-05   1.841688e-03   1.733454e-08   1564946
