# power spectrum of delta
# redshift z=5.974173
# k              Pk             sigma(k)       sigma(Pk)      count
  5.011399e-03   1.731374e-06   7.667927e-04   3.348158e-07   18
  1.037418e-02   4.640429e-05   1.725047e-03   5.350269e-06   128
  1.616528e-02   2.045592e-04   1.646572e-03   1.154541e-05   314
  2.269071e-02   4.891604e-04   1.954354e-03   1.896556e-05   728
  2.897169e-02   9.340177e-04   1.717946e-03   3.136741e-05   1016
  3.518826e-02   1.296349e-03   1.880676e-03   3.202363e-05   1682
  4.169479e-02   1.941041e-03   1.831736e-03   4.077526e-05   2300
  4.790974e-02   2.467632e-03   1.770731e-03   4.634483e-05   2906
  5.429022e-02   3.310609e-03   1.892687e-03   5.446701e-05   4040
  6.068098e-02   4.272853e-03   1.775551e-03   6.440713e-05   4712
  6.698900e-02   5.431619e-03   1.857705e-03   7.008891e-05   6002
  7.346135e-02   6.417833e-03   1.857594e-03   7.639484e-05   7256
  7.977379e-02   7.611907e-03   1.772571e-03   8.613466e-05   8120
  8.609019e-02   8.320915e-03   1.864951e-03   8.346955e-05   9950
  9.253636e-02   9.156749e-03   1.853578e-03   8.471227e-05   11384
  9.885187e-02   9.738927e-03   1.809244e-03   8.765843e-05   12666
  1.052712e-01   1.073531e-02   1.889168e-03   8.620780e-05   15104
  1.117654e-01   1.182627e-02   1.850532e-03   9.291370e-05   16616
  1.180754e-01   1.343579e-02   1.799489e-03   1.007727e-04   18026
  1.244216e-01   1.472555e-02   1.853405e-03   1.009616e-04   20696
  1.308065e-01   1.597716e-02   1.827918e-03   1.074923e-04   22436
  1.371558e-01   1.751115e-02   1.845873e-03   1.114140e-04   24962
  1.435394e-01   1.836950e-02   1.831283e-03   1.100771e-04   27176
  1.499133e-01   1.892858e-02   1.847268e-03   1.100903e-04   29810
  1.562775e-01   1.971301e-02   1.828450e-03   1.111508e-04   32120
  1.626776e-01   2.046656e-02   1.865216e-03   1.091207e-04   35432
  1.690383e-01   2.174669e-02   1.814577e-03   1.123555e-04   37238
  1.754019e-01   2.299373e-02   1.856016e-03   1.136772e-04   41072
  1.817869e-01   2.420955e-02   1.834293e-03   1.173153e-04   43472
  1.881565e-01   2.591534e-02   1.848176e-03   1.199203e-04   47042
  1.945298e-01   2.754976e-02   1.829223e-03   1.252837e-04   49712
  2.008693e-01   2.869313e-02   1.840592e-03   1.250808e-04   53226
  2.072637e-01   2.899477e-02   1.853753e-03   1.209219e-04   57320
  2.136558e-01   3.004254e-02   1.831629e-03   1.230501e-04   60092
  2.200056e-01   3.096177e-02   1.839426e-03   1.228867e-04   63914
  2.263950e-01   3.165142e-02   1.849752e-03   1.207331e-04   68192
  2.327751e-01   3.272351e-02   1.833934e-03   1.223290e-04   71336
  2.391397e-01   3.382464e-02   1.845607e-03   1.228293e-04   75818
  2.455297e-01   3.513784e-02   1.844019e-03   1.249465e-04   79880
  2.518964e-01   3.650273e-02   1.834462e-03   1.259338e-04   83642
  2.582661e-01   3.809371e-02   1.840779e-03   1.283809e-04   88316
  2.646730e-01   3.902262e-02   1.859422e-03   1.282108e-04   93488
  2.710484e-01   3.986755e-02   1.827184e-03   1.288297e-04   96458
  2.773871e-01   4.070170e-02   1.829038e-03   1.292137e-04   101264
  2.837816e-01   4.136592e-02   1.862873e-03   1.259615e-04   107696
  2.901819e-01   4.212994e-02   1.837217e-03   1.268143e-04   111170
  2.965233e-01   4.354073e-02   1.822285e-03   1.287389e-04   115232
  3.028941e-01   4.449205e-02   1.855375e-03   1.270839e-04   122310
  3.093019e-01   4.542325e-02   1.843350e-03   1.276453e-04   126944
  3.156739e-01   4.678307e-02   1.828600e-03   1.294210e-04   131192
  3.220432e-01   4.778902e-02   1.844535e-03   1.295917e-04   137618
  3.284234e-01   4.899000e-02   1.836674e-03   1.296519e-04   142448
  3.347979e-01   4.962705e-02   1.844704e-03   1.286333e-04   148520
  3.411627e-01   5.047088e-02   1.831436e-03   1.296203e-04   153254
  3.475446e-01   5.155041e-02   1.852010e-03   1.288539e-04   160760
  3.539284e-01   5.194588e-02   1.835751e-03   1.274845e-04   165290
  3.603019e-01   5.343313e-02   1.840148e-03   1.288348e-04   171992
  3.666828e-01   5.417770e-02   1.840217e-03   1.291907e-04   177800
  3.730569e-01   5.527828e-02   1.843032e-03   1.289072e-04   184322
  3.794439e-01   5.633199e-02   1.841595e-03   1.295506e-04   190832
  3.858239e-01   5.709181e-02   1.839260e-03   1.294815e-04   196772
  3.921872e-01   5.852572e-02   1.836453e-03   1.301945e-04   202970
  3.985536e-01   5.942330e-02   1.839266e-03   1.302916e-04   210056
  4.049173e-01   6.028484e-02   1.832832e-03   1.300767e-04   216210
  4.112896e-01   6.094118e-02   1.841640e-03   1.286127e-04   224168
  4.176700e-01   6.137716e-02   1.840761e-03   1.284325e-04   230792
  4.240565e-01   6.291406e-02   1.846256e-03   1.293510e-04   238778
  4.304312e-01   6.333756e-02   1.831772e-03   1.277576e-04   243956
  4.367939e-01   6.453804e-02   1.845141e-03   1.284054e-04   252680
  4.431746e-01   6.556369e-02   1.842020e-03   1.288991e-04   260066
  4.495713e-01   6.633745e-02   1.849294e-03   1.280447e-04   268712
  4.559494e-01   6.723674e-02   1.834336e-03   1.285831e-04   274034
  4.623270e-01   6.780146e-02   1.847366e-03   1.273953e-04   283904
  4.687088e-01   6.872700e-02   1.837425e-03   1.279749e-04   290048
  4.750707e-01   6.937495e-02   1.836659e-03   1.277247e-04   297950
  4.814434e-01   7.045977e-02   1.842026e-03   1.277392e-04   306968
  4.878269e-01   7.182791e-02   1.843240e-03   1.282288e-04   315320
  4.942006e-01   7.188845e-02   1.835899e-03   1.268948e-04   322346
  5.005701e-01   7.300770e-02   1.842589e-03   1.266242e-04   331664
  5.069538e-01   7.373081e-02   1.844896e-03   1.262357e-04   340818
  5.133346e-01   7.488858e-02   1.837322e-03   1.271689e-04   348164
  5.197083e-01   7.572852e-02   1.843548e-03   1.270206e-04   357584
  5.260929e-01   7.662141e-02   1.846059e-03   1.263449e-04   367106
  5.324635e-01   7.691182e-02   1.832285e-03   1.255801e-04   373376
  5.388350e-01   7.770767e-02   1.848023e-03   1.248885e-04   385376
