# power spectrum of phi
# redshift z=-0.013098
# k              Pk             sigma(k)       sigma(Pk)      count
  5.011399e-03   1.819342e-10   7.667927e-04   4.007077e-11   18
  1.037418e-02   2.659090e-10   1.725047e-03   2.712515e-11   128
  1.616528e-02   2.169578e-10   1.646572e-03   1.154446e-11   314
  2.269071e-02   1.353548e-10   1.954354e-03   4.958023e-12   728
  2.897169e-02   9.946781e-11   1.717946e-03   3.405808e-12   1016
  3.518826e-02   6.372390e-11   1.880676e-03   1.599379e-12   1682
  4.169479e-02   4.750116e-11   1.831736e-03   9.671899e-13   2300
  4.790974e-02   3.490202e-11   1.770731e-03   6.548153e-13   2906
  5.429022e-02   2.795955e-11   1.892687e-03   4.530814e-13   4040
  6.068098e-02   2.342077e-11   1.775551e-03   3.481777e-13   4712
  6.698900e-02   1.982500e-11   1.857705e-03   2.596993e-13   6002
  7.346135e-02   1.620098e-11   1.857594e-03   1.964294e-13   7256
  7.977379e-02   1.391273e-11   1.772571e-03   1.585787e-13   8120
  8.609019e-02   1.123162e-11   1.864951e-03   1.137912e-13   9950
  9.253636e-02   9.407285e-12   1.853578e-03   8.689843e-14   11384
  9.885187e-02   7.770920e-12   1.809244e-03   7.108382e-14   12666
  1.052712e-01   6.796893e-12   1.889168e-03   5.472378e-14   15104
  1.117654e-01   5.863126e-12   1.850532e-03   4.574346e-14   16616
  1.180754e-01   5.330503e-12   1.799489e-03   3.978867e-14   18026
  1.244216e-01   4.731335e-12   1.853405e-03   3.263470e-14   20696
  1.308065e-01   4.208575e-12   1.827918e-03   2.830548e-14   22436
  1.371558e-01   3.785167e-12   1.845873e-03   2.372041e-14   24962
  1.435394e-01   3.414486e-12   1.831283e-03   2.073503e-14   27176
  1.499133e-01   3.004249e-12   1.847268e-03   1.754600e-14   29810
  1.562775e-01   2.707940e-12   1.828450e-03   1.530349e-14   32120
  1.626776e-01   2.471276e-12   1.865216e-03   1.330027e-14   35432
  1.690383e-01   2.275390e-12   1.814577e-03   1.175166e-14   37238
  1.754019e-01   2.079263e-12   1.856016e-03   1.025208e-14   41072
  1.817869e-01   1.916457e-12   1.834293e-03   9.198691e-15   43472
  1.881565e-01   1.763817e-12   1.848176e-03   8.201143e-15   47042
  1.945298e-01   1.659429e-12   1.829223e-03   7.445816e-15   49712
  2.008693e-01   1.543356e-12   1.840592e-03   6.668932e-15   53226
  2.072637e-01   1.397955e-12   1.853753e-03   5.837239e-15   57320
  2.136558e-01   1.321353e-12   1.831629e-03   5.405875e-15   60092
  2.200056e-01   1.231670e-12   1.839426e-03   4.852748e-15   63914
  2.263950e-01   1.142514e-12   1.849752e-03   4.368867e-15   68192
  2.327751e-01   1.070332e-12   1.833934e-03   4.008979e-15   71336
  2.391397e-01   1.008111e-12   1.845607e-03   3.677900e-15   75818
  2.455297e-01   9.548727e-13   1.844019e-03   3.387394e-15   79880
  2.518964e-01   8.978777e-13   1.834462e-03   3.100354e-15   83642
  2.582661e-01   8.569406e-13   1.840779e-03   2.891389e-15   88316
  2.646730e-01   8.007375e-13   1.859422e-03   2.647512e-15   93488
  2.710484e-01   7.571480e-13   1.827184e-03   2.444297e-15   96458
  2.773871e-01   7.253968e-13   1.829038e-03   2.272887e-15   101264
  2.837816e-01   6.858192e-13   1.862873e-03   2.093133e-15   107696
  2.901819e-01   6.525069e-13   1.837217e-03   1.952132e-15   111170
  2.965233e-01   6.212602e-13   1.822285e-03   1.841774e-15   115232
  3.028941e-01   5.946272e-13   1.855375e-03   1.712320e-15   122310
  3.093019e-01   5.637660e-13   1.843350e-03   1.583062e-15   126944
  3.156739e-01   5.431601e-13   1.828600e-03   1.502942e-15   131192
  3.220432e-01   5.163133e-13   1.844535e-03   1.402335e-15   137618
  3.284234e-01   4.945036e-13   1.836674e-03   1.314200e-15   142448
  3.347979e-01   4.767340e-13   1.844704e-03   1.229846e-15   148520
  3.411627e-01   4.532986e-13   1.831436e-03   1.154954e-15   153254
  3.475446e-01   4.371962e-13   1.852010e-03   1.091485e-15   160760
  3.539284e-01   4.187114e-13   1.835751e-03   1.030232e-15   165290
  3.603019e-01   4.046846e-13   1.840148e-03   9.772638e-16   171992
  3.666828e-01   3.881926e-13   1.840217e-03   9.203870e-16   177800
  3.730569e-01   3.733568e-13   1.843032e-03   8.656201e-16   184322
  3.794439e-01   3.618886e-13   1.841595e-03   8.266555e-16   190832
  3.858239e-01   3.477584e-13   1.839260e-03   7.855952e-16   196772
  3.921872e-01   3.353517e-13   1.836453e-03   7.451508e-16   202970
  3.985536e-01   3.258577e-13   1.839266e-03   7.121849e-16   210056
  4.049173e-01   3.140152e-13   1.832832e-03   6.791125e-16   216210
  4.112896e-01   3.047415e-13   1.841640e-03   6.438203e-16   224168
  4.176700e-01   2.941243e-13   1.840761e-03   6.117836e-16   230792
  4.240565e-01   2.859558e-13   1.846256e-03   5.849486e-16   238778
  4.304312e-01   2.752548e-13   1.831772e-03   5.554380e-16   243956
  4.367939e-01   2.669628e-13   1.845141e-03   5.329260e-16   252680
  4.431746e-01   2.587773e-13   1.842020e-03   5.056005e-16   260066
  4.495713e-01   2.531317e-13   1.849294e-03   4.881296e-16   268712
  4.559494e-01   2.449556e-13   1.834336e-03   4.668857e-16   274034
  4.623270e-01   2.382998e-13   1.847366e-03   4.473195e-16   283904
  4.687088e-01   2.305923e-13   1.837425e-03   4.268537e-16   290048
  4.750707e-01   2.242534e-13   1.836659e-03   4.093594e-16   297950
