# power spectrum of zeta (dimensionless)
# redshift z=-0.013098
# k              Pk             sigma(k)       sigma(Pk)      count
  5.011399e-03   1.885828e-18   7.667927e-04   3.671936e-19   18
  1.037418e-02   5.283301e-17   1.725047e-03   6.092421e-18   128
  1.616528e-02   2.344027e-16   1.646572e-03   1.323660e-17   314
  2.269071e-02   5.621140e-16   1.954354e-03   2.183947e-17   728
  2.897169e-02   1.069982e-15   1.717946e-03   3.592729e-17   1016
  3.518826e-02   1.482452e-15   1.880676e-03   3.672919e-17   1682
  4.169479e-02   2.208258e-15   1.831736e-03   4.610475e-17   2300
  4.790974e-02   2.805629e-15   1.770731e-03   5.262990e-17   2906
  5.429022e-02   3.719907e-15   1.892687e-03   6.087635e-17   4040
  6.068098e-02   4.809119e-15   1.775551e-03   7.211297e-17   4712
  6.698900e-02   6.048403e-15   1.857705e-03   7.845932e-17   6002
  7.346135e-02   7.111047e-15   1.857594e-03   8.504690e-17   7256
  7.977379e-02   8.421441e-15   1.772571e-03   9.577320e-17   8120
  8.609019e-02   9.137839e-15   1.864951e-03   9.180229e-17   9950
  9.253636e-02   1.003914e-14   1.853578e-03   9.287370e-17   11384
  9.885187e-02   1.062987e-14   1.809244e-03   9.613951e-17   12666
  1.052712e-01   1.172013e-14   1.889168e-03   9.444628e-17   15104
  1.117654e-01   1.276142e-14   1.850532e-03   1.000456e-16   16616
  1.180754e-01   1.435645e-14   1.799489e-03   1.073344e-16   18026
  1.244216e-01   1.556960e-14   1.853405e-03   1.070975e-16   20696
  1.308065e-01   1.673268e-14   1.827918e-03   1.125529e-16   22436
  1.371558e-01   1.809073e-14   1.845873e-03   1.143339e-16   24962
  1.435394e-01   1.898576e-14   1.831283e-03   1.141358e-16   27176
  1.499133e-01   1.941306e-14   1.847268e-03   1.126505e-16   29810
  1.562775e-01   2.018018e-14   1.828450e-03   1.134824e-16   32120
  1.626776e-01   2.095804e-14   1.865216e-03   1.121155e-16   35432
  1.690383e-01   2.204264e-14   1.814577e-03   1.132406e-16   37238
  1.754019e-01   2.303585e-14   1.856016e-03   1.139450e-16   41072
  1.817869e-01   2.399835e-14   1.834293e-03   1.157914e-16   43472
  1.881565e-01   2.517851e-14   1.848176e-03   1.171569e-16   47042
  1.945298e-01   2.647343e-14   1.829223e-03   1.200689e-16   49712
  2.008693e-01   2.737448e-14   1.840592e-03   1.187525e-16   53226
  2.072637e-01   2.734220e-14   1.853753e-03   1.141513e-16   57320
  2.136558e-01   2.819562e-14   1.831629e-03   1.153498e-16   60092
  2.200056e-01   2.883863e-14   1.839426e-03   1.141807e-16   63914
  2.263950e-01   2.913901e-14   1.849752e-03   1.116019e-16   68192
  2.327751e-01   2.987481e-14   1.833934e-03   1.112379e-16   71336
  2.391397e-01   3.058475e-14   1.845607e-03   1.112893e-16   75818
  2.455297e-01   3.137882e-14   1.844019e-03   1.112953e-16   79880
  2.518964e-01   3.192624e-14   1.834462e-03   1.101974e-16   83642
  2.582661e-01   3.299102e-14   1.840779e-03   1.112844e-16   88316
  2.646730e-01   3.329404e-14   1.859422e-03   1.094416e-16   93488
  2.710484e-01   3.363580e-14   1.827184e-03   1.090999e-16   96458
  2.773871e-01   3.409810e-14   1.829038e-03   1.076402e-16   101264
  2.837816e-01   3.434700e-14   1.862873e-03   1.049397e-16   107696
  2.901819e-01   3.472507e-14   1.837217e-03   1.045929e-16   111170
  2.965233e-01   3.517907e-14   1.822285e-03   1.043540e-16   115232
  3.028941e-01   3.556355e-14   1.855375e-03   1.017345e-16   122310
  3.093019e-01   3.554851e-14   1.843350e-03   9.980139e-17   126944
  3.156739e-01   3.628956e-14   1.828600e-03   1.003005e-16   131192
  3.220432e-01   3.622282e-14   1.844535e-03   9.869205e-17   137618
  3.284234e-01   3.669946e-14   1.836674e-03   9.756694e-17   142448
  3.347979e-01   3.701886e-14   1.844704e-03   9.508881e-17   148520
  3.411627e-01   3.708174e-14   1.831436e-03   9.442976e-17   153254
  3.475446e-01   3.728941e-14   1.852010e-03   9.335343e-17   160760
  3.539284e-01   3.724782e-14   1.835751e-03   9.151369e-17   165290
  3.603019e-01   3.769737e-14   1.840148e-03   9.080901e-17   171992
  3.666828e-01   3.762836e-14   1.840217e-03   8.938575e-17   177800
  3.730569e-01   3.774079e-14   1.843032e-03   8.782869e-17   184322
  3.794439e-01   3.817388e-14   1.841595e-03   8.756165e-17   190832
  3.858239e-01   3.798426e-14   1.839260e-03   8.566260e-17   196772
  3.921872e-01   3.829552e-14   1.836453e-03   8.515905e-17   202970
  3.985536e-01   3.836647e-14   1.839266e-03   8.375594e-17   210056
  4.049173e-01   3.811772e-14   1.832832e-03   8.220776e-17   216210
  4.112896e-01   3.827609e-14   1.841640e-03   8.107424e-17   224168
  4.176700e-01   3.829506e-14   1.840761e-03   7.950727e-17   230792
  4.240565e-01   3.843273e-14   1.846256e-03   7.867247e-17   238778
  4.304312e-01   3.835377e-14   1.831772e-03   7.742713e-17   243956
  4.367939e-01   3.826799e-14   1.845141e-03   7.623333e-17   252680
  4.431746e-01   3.817026e-14   1.842020e-03   7.518548e-17   260066
  4.495713e-01   3.834130e-14   1.849294e-03   7.388834e-17   268712
  4.559494e-01   3.825554e-14   1.834336e-03   7.287950e-17   274034
  4.623270e-01   3.819628e-14   1.847366e-03   7.157858e-17   283904
  4.687088e-01   3.818628e-14   1.837425e-03   7.059861e-17   290048
  4.750707e-01   3.807399e-14   1.836659e-03   6.947035e-17   297950
  4.814434e-01   3.801667e-14   1.842026e-03   6.851262e-17   306968
  4.878269e-01   3.806279e-14   1.843240e-03   6.815141e-17   315320
  4.942006e-01   3.767988e-14   1.835899e-03   6.630857e-17   322346
  5.005701e-01   3.769136e-14   1.842589e-03   6.537455e-17   331664
  5.069538e-01   3.764396e-14   1.844896e-03   6.454656e-17   340818
  5.133346e-01   3.767503e-14   1.837322e-03   6.383808e-17   348164
  5.197083e-01   3.744935e-14   1.843548e-03   6.248937e-17   357584
  5.260929e-01   3.728657e-14   1.846059e-03   6.128313e-17   367106
  5.324635e-01   3.728229e-14   1.832285e-03   6.104561e-17   373376
  5.388350e-01   3.725859e-14   1.848023e-03   5.996821e-17   385376
  5.452233e-01   3.698614e-14   1.842356e-03   5.910448e-17   393650
  5.516038e-01   3.676458e-14   1.840588e-03   5.788375e-17   402704
  5.579656e-01   3.676027e-14   1.830970e-03   5.742091e-17   409910
  5.643320e-01   3.660766e-14   1.843407e-03   5.638982e-17   422024
  5.707212e-01   3.645962e-14   1.846526e-03   5.552094e-17   432176
  5.771022e-01   3.625200e-14   1.837404e-03   5.475861e-17   440066
  5.834769e-01   3.602101e-14   1.841263e-03   5.368188e-17   450680
  5.898365e-01   3.612329e-14   1.831084e-03   5.328558e-17   457856
  5.962115e-01   3.594246e-14   1.848347e-03   5.224459e-17   472538
  6.026013e-01   3.588873e-14   1.839689e-03   5.180048e-17   480140
  6.089752e-01   3.558159e-14   1.841279e-03   5.091852e-17   490842
  6.153517e-01   3.542945e-14   1.838382e-03   5.011158e-17   500744
  6.217295e-01   3.528113e-14   1.842392e-03   4.925747e-17   511856
  6.281145e-01   3.512925e-14   1.844734e-03   4.862045e-17   523202
  6.344991e-01   3.508728e-14   1.840396e-03   4.808998e-17   532688
  6.408638e-01   3.488836e-14   1.834541e-03   4.732455e-17   541520
  6.472341e-01   3.470306e-14   1.842653e-03   4.657939e-17   555110
  6.536136e-01   3.459881e-14   1.839126e-03   4.599992e-17   564944
  6.599884e-01   3.445459e-14   1.839832e-03   4.537764e-17   576434
  6.663740e-01   3.420418e-14   1.844405e-03   4.466277e-17   588848
  6.727501e-01   3.409532e-14   1.838623e-03   4.402166e-17   597704
  6.791236e-01   3.394243e-14   1.842386e-03   4.339981e-17   610946
  6.855006e-01   3.387154e-14   1.837794e-03   4.290515e-17   620852
  6.918722e-01   3.369411e-14   1.841901e-03   4.242630e-17   633530
  6.982524e-01   3.356063e-14   1.841844e-03   4.173837e-17   645704
  7.046316e-01   3.327619e-14   1.840565e-03   4.110205e-17   656744
  7.110074e-01   3.318004e-14   1.841941e-03   4.059714e-17   669162
  7.173906e-01   3.304044e-14   1.843286e-03   3.996029e-17   681992
  7.237681e-01   3.279284e-14   1.838959e-03   3.955197e-17   692360
  7.301485e-01   3.263533e-14   1.844364e-03   3.889139e-17   707006
  7.365206e-01   3.233851e-14   1.834135e-03   3.832381e-17   714944
  7.428835e-01   3.247271e-14   1.841775e-03   3.795201e-17   730346
  7.492606e-01   3.213224e-14   1.838962e-03   3.730297e-17   742616
  7.556415e-01   3.204735e-14   1.843530e-03   3.686609e-17   756536
  7.620128e-01   3.191357e-14   1.836595e-03   3.647081e-17   766418
  7.683917e-01   3.176166e-14   1.845753e-03   3.590452e-17   783392
