# power spectrum of pi_k * H (dimensionless)
# redshift z=99.597220
# k              Pk             sigma(k)       sigma(Pk)      count
  5.011399e-03   1.485355e-10   7.667927e-04   3.244085e-11   18
  8.760343e-03   2.604449e-10   9.274321e-04   3.716761e-11   62
  1.219264e-02   1.908470e-10   6.415737e-04   2.341061e-11   90
  1.544208e-02   1.885137e-10   1.012578e-03   1.243038e-11   170
  1.882375e-02   1.455731e-10   1.052445e-03   9.054914e-12   246
  2.212586e-02   1.130453e-10   1.003365e-03   6.315697e-12   338
  2.538461e-02   1.055607e-10   8.625369e-04   5.205661e-12   432
  2.874098e-02   8.602210e-11   8.837915e-04   3.902679e-12   578
  3.227171e-02   6.653502e-11   1.029950e-03   2.423396e-12   786
  3.588781e-02   5.185551e-11   1.042120e-03   1.661499e-12   974
  3.927835e-02   4.372645e-11   9.024764e-04   1.383458e-12   1002
  4.262088e-02   3.933141e-11   1.031890e-03   1.040290e-12   1334
  4.605629e-02   3.180135e-11   9.928413e-04   8.660476e-13   1458
  4.927148e-02   2.861894e-11   9.383900e-04   7.069908e-13   1604
  5.258888e-02   2.530005e-11   9.527568e-04   6.097287e-13   1974
  5.604245e-02   2.315664e-11   9.344901e-04   4.927860e-13   2234
  5.946160e-02   2.077147e-11   9.563349e-04   4.279368e-13   2490
  6.298673e-02   1.889327e-11   1.050190e-03   3.546637e-13   3014
  6.645970e-02   1.734258e-11   9.569094e-04   3.152774e-13   3018
  6.980659e-02   1.581582e-11   9.901480e-04   2.714223e-13   3446
  7.314650e-02   1.417315e-11   9.499151e-04   2.377975e-13   3626
  7.649254e-02   1.262871e-11   9.848619e-04   1.971261e-13   4164
  7.989286e-02   1.178188e-11   9.543971e-04   1.808695e-13   4470
  8.331432e-02   1.050959e-11   9.760154e-04   1.531460e-13   4970
  8.675810e-02   9.631423e-12   9.868635e-04   1.298131e-13   5366
  9.019370e-02   8.308204e-12   1.001451e-03   1.061170e-13   5778
  9.359169e-02   7.815029e-12   1.005504e-03   9.917979e-14   6162
  9.700871e-02   6.896299e-12   1.013488e-03   8.714659e-14   6734
  1.003455e-01   6.267154e-12   9.405356e-04   7.514963e-14   6756
  1.036446e-01   5.755905e-12   9.524971e-04   6.413948e-14   7502
  1.070531e-01   5.376366e-12   9.671949e-04   5.956680e-14   8154
  1.104660e-01   4.910558e-12   9.653722e-04   5.349642e-14   8618
  1.139171e-01   4.671949e-12   1.003323e-03   4.857209e-14   9390
  1.173547e-01   4.488299e-12   9.852535e-04   4.571377e-14   9722
  1.207545e-01   4.082662e-12   9.860810e-04   4.066638e-14   10242
  1.241631e-01   3.874403e-12   1.005600e-03   3.632192e-14   11006
  1.275555e-01   3.747034e-12   9.685920e-04   3.561343e-14   11348
  1.309504e-01   3.478083e-12   9.675094e-04   3.117581e-14   12150
  1.343269e-01   3.267180e-12   9.435547e-04   3.006798e-14   12498
  1.377313e-01   3.111900e-12   9.886530e-04   2.648410e-14   13586
  1.411459e-01   2.858040e-12   9.905633e-04   2.445230e-14   14006
  1.445833e-01   2.694274e-12   1.020453e-03   2.143127e-14   15162
  1.479823e-01   2.476533e-12   9.640349e-04   2.026099e-14   14990
  1.513532e-01   2.304419e-12   1.000250e-03   1.808890e-14   16380
  1.547534e-01   2.152091e-12   9.673831e-04   1.661459e-14   16666
  1.581272e-01   2.036954e-12   9.715542e-04   1.556754e-14   17638
  1.615246e-01   1.881492e-12   9.629562e-04   1.407496e-14   18354
  1.649122e-01   1.766955e-12   9.648100e-04   1.289699e-14   19034
  1.683224e-01   1.700334e-12   1.001264e-03   1.188218e-14   20270
  1.717777e-01   1.634551e-12   1.011461e-03   1.115483e-14   21258
  1.751873e-01   1.557708e-12   9.729108e-04   1.059121e-14   21350
  1.785755e-01   1.451944e-12   9.827640e-04   9.805757e-15   22644
  1.819721e-01   1.402703e-12   9.637913e-04   9.279640e-15   23114
  1.853591e-01   1.359614e-12   9.784818e-04   8.807822e-15   24342
  1.887709e-01   1.290476e-12   9.779824e-04   8.108611e-15   25194
  1.921706e-01   1.253438e-12   9.766706e-04   7.925277e-15   25982
  1.955383e-01   1.201877e-12   9.708990e-04   7.389224e-15   26506
