# power spectrum of phi
# redshift z=9.951253
# k              Pk             sigma(k)       sigma(Pk)      count
  5.011399e-03   3.189914e-10   7.667927e-04   7.029254e-11   18
  8.760343e-03   5.469718e-10   9.274321e-04   7.804166e-11   62
  1.219264e-02   4.006579e-10   6.415737e-04   4.911442e-11   90
  1.544208e-02   3.954226e-10   1.012578e-03   2.609049e-11   170
  1.882375e-02   3.052261e-10   1.052445e-03   1.898237e-11   246
  2.212586e-02   2.363124e-10   1.003365e-03   1.321331e-11   338
  2.538461e-02   2.203125e-10   8.625369e-04   1.086542e-11   432
  2.874098e-02   1.790239e-10   8.837915e-04   8.117449e-12   578
  3.227171e-02   1.380356e-10   1.029950e-03   5.035502e-12   786
  3.588781e-02   1.076427e-10   1.042120e-03   3.454468e-12   974
  3.927835e-02   9.054736e-11   9.024764e-04   2.863187e-12   1002
  4.262088e-02   8.150516e-11   1.031890e-03   2.149597e-12   1334
  4.605629e-02   6.591933e-11   9.928413e-04   1.797367e-12   1458
  4.927148e-02   5.951658e-11   9.383900e-04   1.467264e-12   1604
  5.258888e-02   5.265978e-11   9.527568e-04   1.265925e-12   1974
  5.604245e-02   4.815353e-11   9.344901e-04   1.024249e-12   2234
  5.946160e-02   4.349399e-11   9.563349e-04   8.937541e-13   2490
  6.298673e-02   3.955492e-11   1.050190e-03   7.434057e-13   3014
  6.645970e-02   3.633111e-11   9.569094e-04   6.612503e-13   3018
  6.980659e-02   3.312518e-11   9.901480e-04   5.697311e-13   3446
  7.314650e-02   2.966508e-11   9.499151e-04   4.982723e-13   3626
  7.649254e-02   2.641044e-11   9.848619e-04   4.126694e-13   4164
  7.989286e-02   2.466420e-11   9.543971e-04   3.785208e-13   4470
  8.331432e-02   2.188006e-11   9.760154e-04   3.195488e-13   4970
  8.675810e-02   2.006093e-11   9.868635e-04   2.702004e-13   5366
  9.019370e-02   1.723619e-11   1.001451e-03   2.203538e-13   5778
  9.359169e-02   1.618632e-11   1.005504e-03   2.055364e-13   6162
  9.700871e-02   1.430037e-11   1.013488e-03   1.811824e-13   6734
  1.003455e-01   1.293215e-11   9.405356e-04   1.550245e-13   6756
  1.036446e-01   1.191406e-11   9.524971e-04   1.328614e-13   7502
  1.070531e-01   1.112771e-11   9.671949e-04   1.234962e-13   8154
  1.104660e-01   1.015963e-11   9.653722e-04   1.105866e-13   8618
  1.139171e-01   9.697569e-12   1.003323e-03   1.010028e-13   9390
  1.173547e-01   9.316225e-12   9.852535e-04   9.474433e-14   9722
  1.207545e-01   8.478937e-12   9.860810e-04   8.439100e-14   10242
  1.241631e-01   8.043766e-12   1.005600e-03   7.554376e-14   11006
  1.275555e-01   7.803309e-12   9.685920e-04   7.411482e-14   11348
  1.309504e-01   7.241266e-12   9.675094e-04   6.497666e-14   12150
  1.343269e-01   6.793294e-12   9.435547e-04   6.235069e-14   12498
  1.377313e-01   6.453658e-12   9.886530e-04   5.487092e-14   13586
  1.411459e-01   5.936977e-12   9.905633e-04   5.075145e-14   14006
  1.445833e-01   5.580315e-12   1.020453e-03   4.426300e-14   15162
  1.479823e-01   5.122822e-12   9.640349e-04   4.192191e-14   14990
  1.513532e-01   4.761945e-12   1.000250e-03   3.735907e-14   16380
  1.547534e-01   4.445703e-12   9.673831e-04   3.426837e-14   16666
  1.581272e-01   4.197464e-12   9.715542e-04   3.203202e-14   17638
  1.615246e-01   3.883990e-12   9.629562e-04   2.901043e-14   18354
  1.649122e-01   3.639753e-12   9.648100e-04   2.668239e-14   19034
  1.683224e-01   3.499159e-12   1.001264e-03   2.432606e-14   20270
  1.717777e-01   3.365672e-12   1.011461e-03   2.292434e-14   21258
  1.751873e-01   3.200481e-12   9.729108e-04   2.180024e-14   21350
  1.785755e-01   2.991805e-12   9.827640e-04   2.020115e-14   22644
  1.819721e-01   2.894937e-12   9.637913e-04   1.915686e-14   23114
  1.853591e-01   2.801053e-12   9.784818e-04   1.815936e-14   24342
  1.887709e-01   2.660444e-12   9.779824e-04   1.672983e-14   25194
  1.921706e-01   2.576297e-12   9.766706e-04   1.633544e-14   25982
  1.955383e-01   2.471398e-12   9.708990e-04   1.521191e-14   26506
  1.989580e-01   2.353808e-12   1.021831e-03   1.406049e-14   28738
  2.023656e-01   2.223168e-12   9.717245e-04   1.329521e-14   28296
  2.057704e-01   2.090426e-12   1.000845e-03   1.191862e-14   30554
  2.091688e-01   1.972886e-12   9.485901e-04   1.138262e-14   30094
  2.125221e-01   1.919569e-12   9.710923e-04   1.078199e-14   31738
  2.159356e-01   1.788288e-12   9.929033e-04   9.924599e-15   33306
  2.193286e-01   1.728641e-12   9.661337e-04   9.357571e-15   33422
  2.227194e-01   1.643379e-12   9.900859e-04   8.816385e-15   35298
  2.261624e-01   1.558423e-12   1.000185e-03   8.188001e-15   36650
  2.295712e-01   1.490038e-12   9.760902e-04   7.701094e-15   36888
  2.329819e-01   1.419920e-12   9.904086e-04   7.169107e-15   38834
  2.363985e-01   1.363136e-12   9.689353e-04   6.905050e-15   39246
  2.397896e-01   1.325907e-12   9.728047e-04   6.630656e-15   40466
  2.431611e-01   1.275983e-12   9.698523e-04   6.246143e-15   41106
  2.465616e-01   1.221478e-12   1.002402e-03   5.870983e-15   43598
  2.499729e-01   1.186649e-12   9.767696e-04   5.713386e-15   43650
  2.533537e-01   1.142806e-12   9.807939e-04   5.358628e-15   45272
  2.567753e-01   1.103798e-12   9.902728e-04   5.108633e-15   46994
  2.601932e-01   1.079621e-12   9.838031e-04   4.908385e-15   47850
  2.635891e-01   1.022482e-12   9.763755e-04   4.642022e-15   48846
  2.669651e-01   9.908235e-13   9.674364e-04   4.466350e-15   49706
  2.703341e-01   9.507076e-13   9.741070e-04   4.227244e-15   51198
  2.737406e-01   9.049550e-13   9.924828e-04   3.928017e-15   53402
  2.771371e-01   8.821076e-13   9.722520e-04   3.881105e-15   53634
  2.805624e-01   8.382817e-13   1.000830e-03   3.502523e-15   56888
  2.839916e-01   8.072099e-13   9.684451e-04   3.413141e-15   56474
  2.874008e-01   7.784871e-13   9.892805e-04   3.216757e-15   58962
  2.908071e-01   7.420882e-13   9.753894e-04   3.054093e-15   59214
  2.941982e-01   7.281005e-13   9.869673e-04   2.944896e-15   61250
  2.975821e-01   7.019227e-13   9.719144e-04   2.836522e-15   61694
  3.009545e-01   6.806541e-13   9.802014e-04   2.715892e-15   63618
  3.043698e-01   6.560356e-13   9.975679e-04   2.534443e-15   66284
  3.077980e-01   6.369385e-13   9.829085e-04   2.461514e-15   67014
  3.111933e-01   6.095431e-13   9.745070e-04   2.351355e-15   67930
  3.145950e-01   5.930667e-13   9.864977e-04   2.244088e-15   70294
  3.179925e-01   5.851332e-13   9.751208e-04   2.191010e-15   70658
  3.213649e-01   5.640658e-13   9.817106e-04   2.118046e-15   72522
  3.247596e-01   5.411501e-13   9.844648e-04   1.987524e-15   74550
  3.281564e-01   5.260492e-13   9.737283e-04   1.912660e-15   75674
  3.315542e-01   5.126216e-13   9.772401e-04   1.844381e-15   77708
  3.349903e-01   4.928805e-13   9.941667e-04   1.728723e-15   80622
  3.384102e-01   4.759914e-13   9.737086e-04   1.697826e-15   80330
  3.418120e-01   4.620403e-13   9.872349e-04   1.614634e-15   82974
  3.452149e-01   4.457404e-13   9.787907e-04   1.543864e-15   83666
  3.486074e-01   4.349013e-13   9.855947e-04   1.485602e-15   85746
  3.519919e-01   4.173008e-13   9.786235e-04   1.424471e-15   86702
  3.553849e-01   4.062977e-13   9.853848e-04   1.345262e-15   89556
  3.587998e-01   3.945507e-13   9.787040e-04   1.309961e-15   91038
  3.622049e-01   3.871500e-13   9.781806e-04   1.276334e-15   92522
  3.655984e-01   3.729043e-13   9.796226e-04   1.222531e-15   94034
  3.690238e-01   3.615012e-13   1.002172e-03   1.165067e-15   97758
  3.724152e-01   3.536469e-13   9.656500e-04   1.143071e-15   95770
  3.757798e-01   3.425701e-13   9.833165e-04   1.097083e-15   99646
  3.791725e-01   3.362141e-13   9.759165e-04   1.060975e-15   100980
  3.825817e-01   3.244475e-13   9.863738e-04   1.017293e-15   104258
  3.859962e-01   3.147322e-13   9.755460e-04   9.762172e-16   104998
  3.894080e-01   3.069519e-13   9.835643e-04   9.394324e-16   107866
  3.928147e-01   3.002813e-13   9.740361e-04   9.140811e-16   108154
  3.962141e-01   2.938687e-13   9.934490e-04   8.865761e-16   111622
  3.996192e-01   2.842895e-13   9.826041e-04   8.526584e-16   112146
  4.030012e-01   2.786693e-13   9.795782e-04   8.272609e-16   114014
  4.063885e-01   2.685620e-13   9.764181e-04   7.942828e-16   116220
  4.097904e-01   2.618688e-13   9.798152e-04   7.560467e-16   118682
  4.132005e-01   2.547228e-13   9.857802e-04   7.393940e-16   121118
  4.166179e-01   2.462939e-13   9.842070e-04   7.071248e-16   122994
  4.200138e-01   2.395018e-13   9.755040e-04   6.856052e-16   123574
  4.234089e-01   2.360536e-13   9.898661e-04   6.679802e-16   126922
  4.268043e-01   2.291657e-13   9.841431e-04   6.450426e-16   127906
  4.301921e-01   2.225624e-13   9.815465e-04   6.166364e-16   130432
  4.335917e-01   2.169707e-13   9.754601e-04   5.979350e-16   132642
  4.369913e-01   2.126874e-13   9.719503e-04   5.809358e-16   134534
  4.404018e-01   2.077516e-13   9.840871e-04   5.626040e-16   137778
  4.438343e-01   2.027112e-13   9.933984e-04   5.439082e-16   140786
  4.472374e-01   1.972245e-13   9.717922e-04   5.283928e-16   139590
  4.506229e-01   1.928934e-13   9.849166e-04   5.138479e-16   143546
  4.540257e-01   1.880195e-13   9.844996e-04   4.933377e-16   145338
  4.574181e-01   1.837513e-13   9.804237e-04   4.821306e-16   147272
  4.608205e-01   1.786067e-13   9.820431e-04   4.641743e-16   150330
  4.642299e-01   1.737241e-13   9.784546e-04   4.459973e-16   152318
  4.676229e-01   1.701891e-13   9.721829e-04   4.372296e-16   153202
  4.710338e-01   1.654437e-13   9.963562e-04   4.177647e-16   158626
  4.744395e-01   1.621660e-13   9.772483e-04   4.128056e-16   157350
  4.778318e-01   1.573796e-13   9.898002e-04   3.952530e-16   161906
  4.812140e-01   1.552488e-13   9.669369e-04   3.926111e-16   160872
  4.846116e-01   1.517050e-13   9.917034e-04   3.738865e-16   167858
  4.880280e-01   1.489729e-13   9.756048e-04   3.662433e-16   167514
  4.914175e-01   1.440811e-13   9.745776e-04   3.517374e-16   169862
  4.948220e-01   1.407354e-13   9.838968e-04   3.422245e-16   173602
  4.982323e-01   1.381141e-13   9.830917e-04   3.296621e-16   175258
  5.016339e-01   1.348023e-13   9.862687e-04   3.225443e-16   177654
  5.050410e-01   1.315286e-13   9.895807e-04   3.099280e-16   180698
  5.084427e-01   1.288807e-13   9.791290e-04   3.043439e-16   181968
  5.118414e-01   1.266569e-13   9.787235e-04   2.963484e-16   184850
  5.152392e-01   1.239703e-13   9.792509e-04   2.894075e-16   187034
  5.186493e-01   1.208161e-13   9.887200e-04   2.784881e-16   191238
  5.220519e-01   1.186974e-13   9.768042e-04   2.738501e-16   191042
  5.254432e-01   1.159787e-13   9.855000e-04   2.637423e-16   195102
  5.288335e-01   1.132697e-13   9.778254e-04   2.588250e-16   195786
  5.322301e-01   1.102066e-13   9.901932e-04   2.455946e-16   201164
  5.356296e-01   1.087159e-13   9.735643e-04   2.453884e-16   201070
  5.390212e-01   1.053981e-13   9.785171e-04   2.340600e-16   205234
  5.424222e-01   1.038595e-13   9.768081e-04   2.289030e-16   207342
  5.458239e-01   1.012925e-13   9.815179e-04   2.221627e-16   210602
  5.492295e-01   9.948542e-14   9.836776e-04   2.175847e-16   213130
  5.526459e-01   9.739068e-14   9.915409e-04   2.104147e-16   217318
  5.560456e-01   9.525884e-14   9.743530e-04   2.057942e-16   216306
  5.594305e-01   9.280043e-14   9.794774e-04   1.995964e-16   220652
  5.628376e-01   9.142651e-14   9.842473e-04   1.952476e-16   224502
  5.662522e-01   8.991485e-14   9.844461e-04   1.904211e-16   227186
  5.696552e-01   8.744529e-14   9.784190e-04   1.850895e-16   228398
  5.730519e-01   8.569027e-14   9.819770e-04   1.797707e-16   231642
  5.764475e-01   8.405125e-14   9.824176e-04   1.759170e-16   233946
  5.798545e-01   8.264059e-14   9.913361e-04   1.710319e-16   238694
  5.832493e-01   8.080326e-14   9.753099e-04   1.677297e-16   238068
  5.866460e-01   7.928740e-14   9.835365e-04   1.622010e-16   244190
  5.900561e-01   7.748137e-14   9.771578e-04   1.585215e-16   245362
  5.934524e-01   7.650706e-14   9.800894e-04   1.554780e-16   248362
  5.968555e-01   7.470824e-14   9.839452e-04   1.505847e-16   251966
  6.002586e-01   7.355814e-14   9.805677e-04   1.465653e-16   254034
  6.036498e-01   7.205970e-14   9.775259e-04   1.446845e-16   255818
  6.070559e-01   7.028994e-14   9.912862e-04   1.396193e-16   262254
  6.104632e-01   6.931709e-14   9.773523e-04   1.375588e-16   261980
  6.138753e-01   6.780302e-14   9.883425e-04   1.331612e-16   268566
  6.172721e-01   6.681616e-14   9.667501e-04   1.312265e-16   265538
  6.206625e-01   6.543832e-14   9.869997e-04   1.266373e-16   273330
  6.240644e-01   6.399357e-14   9.812963e-04   1.246483e-16   273718
  6.274686e-01   6.269952e-14   9.910705e-04   1.201881e-16   279658
  6.308738e-01   6.205627e-14   9.800215e-04   1.194374e-16   279670
  6.342612e-01   6.078118e-14   9.791793e-04   1.166492e-16   282964
  6.376657e-01   5.944667e-14   9.856782e-04   1.128330e-16   288362
  6.410723e-01   5.850586e-14   9.787866e-04   1.107056e-16   289686
  6.444666e-01   5.742500e-14   9.767056e-04   1.083339e-16   292234
  6.478513e-01   5.627677e-14   9.736693e-04   1.058172e-16   294190
  6.512490e-01   5.510733e-14   9.869325e-04   1.020016e-16   300642
  6.546619e-01   5.422173e-14   9.871013e-04   1.003333e-16   303386
  6.580612e-01   5.298051e-14   9.793499e-04   9.777245e-17   304662
  6.614636e-01   5.205027e-14   9.820034e-04   9.593149e-17   309812
  6.648699e-01   5.119024e-14   9.779067e-04   9.382933e-17   311714
  6.682854e-01   5.028833e-14   9.889859e-04   9.097646e-17   318126
  6.716848e-01   4.945820e-14   9.721561e-04   9.008142e-17   315114
  6.750728e-01   4.845470e-14   9.862501e-04   8.736662e-17   322622
  6.784691e-01   4.779615e-14   9.775093e-04   8.625379e-17   322850
  6.818689e-01   4.695721e-14   9.897138e-04   8.384548e-17   329802
  6.852751e-01   4.609129e-14   9.833693e-04   8.197774e-17   331104
  6.886859e-01   4.527553e-14   9.866565e-04   7.984852e-17   336986
  6.920888e-01   4.448141e-14   9.721728e-04   7.865844e-17   335870
  6.954811e-01   4.352061e-14   9.807544e-04   7.650991e-17   341610
  6.988813e-01   4.281485e-14   9.817106e-04   7.470180e-17   344370
  7.022777e-01   4.229491e-14   9.819315e-04   7.370331e-17   347606
  7.056775e-01   4.148945e-14   9.835290e-04   7.172178e-17   351650
  7.090743e-01   4.089346e-14   9.788224e-04   7.054209e-17   353760
  7.124835e-01   3.999056e-14   9.883067e-04   6.851823e-17   360970
  7.159021e-01   3.943270e-14   9.827333e-04   6.723954e-17   362818
  7.192956e-01   3.876724e-14   9.713759e-04   6.605661e-17   362334
  7.226987e-01   3.804138e-14   9.881791e-04   6.445656e-17   371642
  7.260991e-01   3.741307e-14   9.752613e-04   6.379135e-17   368778
  7.294880e-01   3.685091e-14   9.876514e-04   6.187740e-17   376526
  7.328875e-01   3.608339e-14   9.811641e-04   6.047073e-17   377786
  7.362841e-01   3.559910e-14   9.830834e-04   5.924864e-17   382968
  7.396876e-01   3.504110e-14   9.807196e-04   5.795631e-17   386146
  7.430940e-01   3.456939e-14   9.835434e-04   5.693734e-17   390826
  7.464968e-01   3.391169e-14   9.797536e-04   5.593143e-17   392662
  7.499014e-01   3.337796e-14   9.850939e-04   5.466903e-17   398242
  7.532920e-01   3.276975e-14   9.729755e-04   5.392053e-17   396726
  7.566809e-01   3.224295e-14   9.841245e-04   5.259502e-17   404738
  7.600831e-01   3.178423e-14   9.825351e-04   5.143662e-17   407628
  7.634852e-01   3.112373e-14   9.813443e-04   5.019195e-17   411734
  7.668845e-01   3.068988e-14   9.775056e-04   4.939939e-17   414242
  7.702939e-01   3.013519e-14   9.855270e-04   4.806912e-17   421434
  7.737042e-01   2.973491e-14   9.802386e-04   4.745816e-17   421918
  7.771088e-01   2.934218e-14   9.872890e-04   4.655150e-17   427810
  7.805138e-01   2.870369e-14   9.826568e-04   4.543117e-17   429470
  7.839079e-01   2.832059e-14   9.797011e-04   4.475090e-17   432282
  7.873028e-01   2.784656e-14   9.821433e-04   4.385221e-17   437260
  7.907010e-01   2.745389e-14   9.806539e-04   4.301661e-17   440758
  7.941053e-01   2.710888e-14   9.841811e-04   4.226448e-17   446370
  7.975164e-01   2.650933e-14   9.834504e-04   4.138774e-17   450182
  8.009127e-01   2.609285e-14   9.757493e-04   4.063228e-17   449850
  8.043077e-01   2.575299e-14   9.864375e-04   3.980152e-17   457898
  8.077063e-01   2.530072e-14   9.796531e-04   3.912786e-17   458662
  8.111019e-01   2.489852e-14   9.815065e-04   3.852082e-17   464620
  8.144977e-01   2.467586e-14   9.750269e-04   3.799574e-17   466302
  8.179011e-01   2.418713e-14   9.839993e-04   3.668668e-17   474314
  8.213073e-01   2.375856e-14   9.800182e-04   3.592889e-17   475530
  8.247179e-01   2.334943e-14   9.879200e-04   3.521075e-17   483206
  8.281287e-01   2.307973e-14   9.814603e-04   3.493573e-17   483530
  8.315249e-01   2.277613e-14   9.809161e-04   3.421258e-17   487002
  8.349221e-01   2.236696e-14   9.835509e-04   3.355046e-17   491774
  8.383178e-01   2.202349e-14   9.804529e-04   3.294410e-17   495084
  8.417151e-01   2.178437e-14   9.794333e-04   3.244016e-17   499438
  8.451164e-01   2.139751e-14   9.820615e-04   3.187094e-17   504682
  8.485188e-01   2.108600e-14   9.813126e-04   3.134556e-17   507738
  8.519281e-01   2.077059e-14   9.891488e-04   3.060268e-17   515174
