# power spectrum of phi_prime/H (dimensionless)
# redshift z=9.951253
# k              Pk             sigma(k)       sigma(Pk)      count
  5.011399e-03   5.139727e-15   7.667927e-04   1.123241e-15   18
  8.760343e-03   1.016392e-14   9.274321e-04   1.370528e-15   62
  1.219264e-02   9.567618e-15   6.415737e-04   1.213660e-15   90
  1.544208e-02   1.143313e-14   1.012578e-03   7.297034e-16   170
  1.882375e-02   1.116667e-14   1.052445e-03   7.130562e-16   246
  2.212586e-02   1.519610e-14   1.003365e-03   7.718856e-16   338
  2.538461e-02   1.781826e-14   8.625369e-04   9.624071e-16   432
  2.874098e-02   2.387529e-14   8.837915e-04   9.820832e-16   578
  3.227171e-02   2.817679e-14   1.029950e-03   1.138964e-15   786
  3.588781e-02   3.167726e-14   1.042120e-03   1.078892e-15   974
  3.927835e-02   3.855480e-14   9.024764e-04   1.171551e-15   1002
  4.262088e-02   3.713678e-14   1.031890e-03   1.083544e-15   1334
  4.605629e-02   4.414877e-14   9.928413e-04   1.128978e-15   1458
  4.927148e-02   4.228360e-14   9.383900e-04   1.104707e-15   1604
  5.258888e-02   4.818187e-14   9.527568e-04   1.032008e-15   1974
  5.604245e-02   5.521642e-14   9.344901e-04   1.160609e-15   2234
  5.946160e-02   4.826728e-14   9.563349e-04   9.889523e-16   2490
  6.298673e-02   5.465448e-14   1.050190e-03   1.015628e-15   3014
  6.645970e-02   5.760336e-14   9.569094e-04   1.012576e-15   3018
  6.980659e-02   5.926446e-14   9.901480e-04   9.738093e-16   3446
  7.314650e-02   5.907812e-14   9.499151e-04   1.073535e-15   3626
  7.649254e-02   6.286458e-14   9.848619e-04   9.706151e-16   4164
  7.989286e-02   6.402142e-14   9.543971e-04   9.837698e-16   4470
  8.331432e-02   6.766166e-14   9.760154e-04   9.977188e-16   4970
  8.675810e-02   6.820177e-14   9.868635e-04   9.479351e-16   5366
  9.019370e-02   6.898075e-14   1.001451e-03   9.200336e-16   5778
  9.359169e-02   6.842733e-14   1.005504e-03   8.854703e-16   6162
  9.700871e-02   6.947923e-14   1.013488e-03   8.412388e-16   6734
  1.003455e-01   7.077275e-14   9.405356e-04   8.889797e-16   6756
  1.036446e-01   7.038349e-14   9.524971e-04   8.412313e-16   7502
  1.070531e-01   7.098584e-14   9.671949e-04   7.968239e-16   8154
  1.104660e-01   7.199130e-14   9.653722e-04   7.879284e-16   8618
  1.139171e-01   7.071590e-14   1.003323e-03   7.528413e-16   9390
  1.173547e-01   7.309213e-14   9.852535e-04   7.353360e-16   9722
  1.207545e-01   7.242363e-14   9.860810e-04   7.170456e-16   10242
  1.241631e-01   7.260791e-14   1.005600e-03   7.067216e-16   11006
  1.275555e-01   7.150257e-14   9.685920e-04   6.798910e-16   11348
  1.309504e-01   7.130932e-14   9.675094e-04   6.517331e-16   12150
  1.343269e-01   7.137204e-14   9.435547e-04   6.655856e-16   12498
  1.377313e-01   7.381705e-14   9.886530e-04   6.404757e-16   13586
  1.411459e-01   7.237943e-14   9.905633e-04   6.319260e-16   14006
  1.445833e-01   7.093876e-14   1.020453e-03   5.910337e-16   15162
  1.479823e-01   7.156192e-14   9.640349e-04   5.971585e-16   14990
  1.513532e-01   6.995036e-14   1.000250e-03   5.535706e-16   16380
  1.547534e-01   7.283910e-14   9.673831e-04   5.772694e-16   16666
  1.581272e-01   7.031949e-14   9.715542e-04   5.380539e-16   17638
  1.615246e-01   7.071990e-14   9.629562e-04   5.282517e-16   18354
  1.649122e-01   6.927644e-14   9.648100e-04   5.084671e-16   19034
  1.683224e-01   7.080631e-14   1.001264e-03   5.121197e-16   20270
  1.717777e-01   6.994831e-14   1.011461e-03   5.020856e-16   21258
