# power spectrum of delta
# redshift z=5.846412
# k              Pk             sigma(k)       sigma(Pk)      count
  5.011399e-03   1.792245e-06   7.667927e-04   3.466813e-07   18
  8.760343e-03   3.031615e-05   9.274321e-04   4.718919e-06   62
  1.219264e-02   7.349817e-05   6.415737e-04   9.523159e-06   90
  1.544208e-02   1.798843e-04   1.012578e-03   1.235902e-05   170
  1.882375e-02   2.962851e-04   1.052445e-03   1.735974e-05   246
  2.212586e-02   4.469325e-04   1.003365e-03   2.474819e-05   338
  2.538461e-02   7.186559e-04   8.625369e-04   3.615237e-05   432
  2.874098e-02   9.561843e-04   8.837915e-04   4.217259e-05   578
  3.227171e-02   1.171865e-03   1.029950e-03   4.247379e-05   786
  3.588781e-02   1.401640e-03   1.042120e-03   4.536827e-05   974
  3.927835e-02   1.692339e-03   9.024764e-04   5.396900e-05   1002
  4.262088e-02   2.123188e-03   1.031890e-03   5.727072e-05   1334
  4.605629e-02   2.317365e-03   9.928413e-04   6.290673e-05   1458
  4.927148e-02   2.756531e-03   9.383900e-04   6.802279e-05   1604
  5.258888e-02   3.151500e-03   9.527568e-04   7.609000e-05   1974
  5.604245e-02   3.713667e-03   9.344901e-04   7.919111e-05   2234
  5.946160e-02   4.262543e-03   9.563349e-04   8.777344e-05   2490
  6.298673e-02   4.865233e-03   1.050190e-03   9.107313e-05   3014
  6.645970e-02   5.537821e-03   9.569094e-04   1.007518e-04   3018
  6.980659e-02   6.149291e-03   9.901480e-04   1.063275e-04   3446
  7.314650e-02   6.618051e-03   9.499151e-04   1.109970e-04   3626
  7.649254e-02   7.063344e-03   9.848619e-04   1.106384e-04   4164
  7.989286e-02   7.855758e-03   9.543971e-04   1.205365e-04   4470
  8.331432e-02   8.213041e-03   9.760154e-04   1.199295e-04   4970
  8.675810e-02   8.875369e-03   9.868635e-04   1.192906e-04   5366
  9.019370e-02   8.907939e-03   1.001451e-03   1.139211e-04   5778
  9.359169e-02   9.691093e-03   1.005504e-03   1.227417e-04   6162
  9.700871e-02   9.895536e-03   1.013488e-03   1.251951e-04   6734
  1.003455e-01   1.022954e-02   9.405356e-04   1.225319e-04   6756
  1.036446e-01   1.076375e-02   9.524971e-04   1.202435e-04   7502
  1.070531e-01   1.142841e-02   9.671949e-04   1.270045e-04   8154
  1.104660e-01   1.180534e-02   9.653722e-04   1.280632e-04   8618
  1.139171e-01   1.278500e-02   1.003323e-03   1.336457e-04   9390
  1.173547e-01   1.380143e-02   9.852535e-04   1.401132e-04   9722
  1.207545e-01   1.407953e-02   9.860810e-04   1.398973e-04   10242
  1.241631e-01   1.490797e-02   1.005600e-03   1.400030e-04   11006
  1.275555e-01   1.612212e-02   9.685920e-04   1.531283e-04   11348
  1.309504e-01   1.660912e-02   9.675094e-04   1.489416e-04   12150
  1.343269e-01   1.725768e-02   9.435547e-04   1.581586e-04   12498
  1.377313e-01   1.810499e-02   9.886530e-04   1.537405e-04   13586
  1.411459e-01   1.840181e-02   9.905633e-04   1.574160e-04   14006
  1.445833e-01   1.902209e-02   1.020453e-03   1.504634e-04   15162
  1.479823e-01   1.917766e-02   9.640349e-04   1.570574e-04   14990
  1.513532e-01   1.949856e-02   1.000250e-03   1.527820e-04   16380
  1.547534e-01   1.992687e-02   9.673831e-04   1.535393e-04   16666
  1.581272e-01   2.051318e-02   9.715542e-04   1.562883e-04   17638
  1.615246e-01   2.072062e-02   9.629562e-04   1.546894e-04   18354
  1.649122e-01   2.106115e-02   9.648100e-04   1.547183e-04   19034
  1.683224e-01   2.197717e-02   1.001264e-03   1.523879e-04   20270
  1.717777e-01   2.292465e-02   1.011461e-03   1.558377e-04   21258
  1.751873e-01   2.355212e-02   9.729108e-04   1.604888e-04   21350
  1.785755e-01   2.380084e-02   9.827640e-04   1.606270e-04   22644
  1.819721e-01   2.484809e-02   9.637913e-04   1.645220e-04   23114
  1.853591e-01   2.583905e-02   9.784818e-04   1.676679e-04   24342
  1.887709e-01   2.639034e-02   9.779824e-04   1.660994e-04   25194
  1.921706e-01   2.739649e-02   9.766706e-04   1.739192e-04   25982
  1.955383e-01   2.821329e-02   9.708990e-04   1.738503e-04   26506
  1.989580e-01   2.882661e-02   1.021831e-03   1.717890e-04   28738
  2.023656e-01   2.913250e-02   9.717245e-04   1.742133e-04   28296
  2.057704e-01   2.928207e-02   1.000845e-03   1.671156e-04   30554
  2.091688e-01   2.946840e-02   9.485901e-04   1.700215e-04   30094
  2.125221e-01   3.059468e-02   9.710923e-04   1.721452e-04   31738
  2.159356e-01   3.035106e-02   9.929033e-04   1.682865e-04   33306
  2.193286e-01   3.128035e-02   9.661337e-04   1.689922e-04   33422
  2.227194e-01   3.163102e-02   9.900859e-04   1.696157e-04   35298
  2.261624e-01   3.190234e-02   1.000185e-03   1.676750e-04   36650
  2.295712e-01   3.238582e-02   9.760902e-04   1.671752e-04   36888
  2.329819e-01   3.272305e-02   9.904086e-04   1.652909e-04   38834
  2.363985e-01   3.333900e-02   9.689353e-04   1.683737e-04   39246
  2.397896e-01   3.426433e-02   9.728047e-04   1.711814e-04   40466
  2.431611e-01   3.496043e-02   9.698523e-04   1.716027e-04   41106
  2.465616e-01   3.532679e-02   1.002402e-03   1.699170e-04   43598
  2.499729e-01   3.625530e-02   9.767696e-04   1.741707e-04   43650
  2.533537e-01   3.676883e-02   9.807939e-04   1.724685e-04   45272
  2.567753e-01   3.757824e-02   9.902728e-04   1.739402e-04   46994
  2.601932e-01   3.866048e-02   9.838031e-04   1.761606e-04   47850
  2.635891e-01   3.859656e-02   9.763755e-04   1.751203e-04   48846
  2.669651e-01   3.939214e-02   9.674364e-04   1.777171e-04   49706
  2.703341e-01   3.977325e-02   9.741070e-04   1.769152e-04   51198
  2.737406e-01   3.968774e-02   9.924828e-04   1.726363e-04   53402
  2.771371e-01   4.072279e-02   9.722520e-04   1.788124e-04   53634
  2.805624e-01   4.063158e-02   1.000830e-03   1.697373e-04   56888
  2.839916e-01   4.111662e-02   9.684451e-04   1.738599e-04   56474
  2.874008e-01   4.159713e-02   9.892805e-04   1.719620e-04   58962
  2.908071e-01   4.158634e-02   9.753894e-04   1.712326e-04   59214
  2.941982e-01   4.268363e-02   9.869673e-04   1.730694e-04   61250
  2.975821e-01   4.310844e-02   9.719144e-04   1.745139e-04   61694
  3.009545e-01   4.377558e-02   9.802014e-04   1.747124e-04   63618
  3.043698e-01   4.401770e-02   9.975679e-04   1.697734e-04   66284
  3.077980e-01   4.474691e-02   9.829085e-04   1.729052e-04   67014
  3.111933e-01   4.471063e-02   9.745070e-04   1.725163e-04   67930
  3.145950e-01   4.541787e-02   9.864977e-04   1.718952e-04   70294
  3.179925e-01   4.676607e-02   9.751208e-04   1.751012e-04   70658
  3.213649e-01   4.691906e-02   9.817106e-04   1.762090e-04   72522
  3.247596e-01   4.710761e-02   9.844648e-04   1.732192e-04   74550
  3.281564e-01   4.771269e-02   9.737283e-04   1.733750e-04   75674
  3.315542e-01   4.840124e-02   9.772401e-04   1.738720e-04   77708
  3.349903e-01   4.854935e-02   9.941667e-04   1.707348e-04   80622
  3.384102e-01   4.875987e-02   9.737086e-04   1.736956e-04   80330
  3.418120e-01   4.933308e-02   9.872349e-04   1.717416e-04   82974
  3.452149e-01   4.948039e-02   9.787907e-04   1.711508e-04   83666
  3.486074e-01   5.024816e-02   9.855947e-04   1.719260e-04   85746
  3.519919e-01   5.014556e-02   9.786235e-04   1.716351e-04   86702
  3.553849e-01   5.071917e-02   9.853848e-04   1.680832e-04   89556
  3.587998e-01   5.125102e-02   9.787040e-04   1.698654e-04   91038
  3.622049e-01   5.216804e-02   9.781806e-04   1.716475e-04   92522
  3.655984e-01   5.215624e-02   9.796226e-04   1.707025e-04   94034
  3.690238e-01   5.244622e-02   1.002172e-03   1.691666e-04   97758
  3.724152e-01   5.318570e-02   9.656500e-04   1.714955e-04   95770
  3.757798e-01   5.341236e-02   9.833165e-04   1.710342e-04   99646
  3.791725e-01   5.442399e-02   9.759165e-04   1.715567e-04   100980
  3.825817e-01   5.434401e-02   9.863738e-04   1.705654e-04   104258
  3.859962e-01   5.467422e-02   9.755460e-04   1.694173e-04   104998
  3.894080e-01   5.520613e-02   9.835643e-04   1.689839e-04   107866
  3.928147e-01   5.593931e-02   9.740361e-04   1.699191e-04   108154
  3.962141e-01   5.663972e-02   9.934490e-04   1.710695e-04   111622
  3.996192e-01   5.668381e-02   9.826041e-04   1.697535e-04   112146
  4.030012e-01   5.738494e-02   9.795782e-04   1.706968e-04   114014
  4.063885e-01   5.720755e-02   9.764181e-04   1.690762e-04   116220
  4.097904e-01   5.766299e-02   9.798152e-04   1.665379e-04   118682
  4.132005e-01   5.801302e-02   9.857802e-04   1.680350e-04   121118
  4.166179e-01   5.794849e-02   9.842070e-04   1.660867e-04   122994
  4.200138e-01   5.818855e-02   9.755040e-04   1.665173e-04   123574
  4.234089e-01   5.925283e-02   9.898661e-04   1.679287e-04   126922
  4.268043e-01   5.952307e-02   9.841431e-04   1.670155e-04   127906
  4.301921e-01   5.965868e-02   9.815465e-04   1.647713e-04   130432
  4.335917e-01   5.983481e-02   9.754601e-04   1.648137e-04   132642
  4.369913e-01   6.070580e-02   9.719503e-04   1.657617e-04   134534
  4.404018e-01   6.105295e-02   9.840871e-04   1.650238e-04   137778
  4.438343e-01   6.146674e-02   9.933984e-04   1.644798e-04   140786
  4.472374e-01   6.165563e-02   9.717922e-04   1.650127e-04   139590
  4.506229e-01   6.203117e-02   9.849166e-04   1.648317e-04   143546
  4.540257e-01   6.227736e-02   9.844996e-04   1.633751e-04   145338
  4.574181e-01   6.271231e-02   9.804237e-04   1.644491e-04   147272
  4.608205e-01   6.285449e-02   9.820431e-04   1.628714e-04   150330
  4.642299e-01   6.304614e-02   9.784546e-04   1.619589e-04   152318
  4.676229e-01   6.347581e-02   9.721829e-04   1.628828e-04   153202
  4.710338e-01   6.364101e-02   9.963562e-04   1.604803e-04   158626
  4.744395e-01   6.416891e-02   9.772483e-04   1.632190e-04   157350
  4.778318e-01   6.404608e-02   9.898002e-04   1.603459e-04   161906
  4.812140e-01   6.487521e-02   9.669369e-04   1.633523e-04   160872
  4.846116e-01   6.526204e-02   9.917034e-04   1.603394e-04   167858
  4.880280e-01   6.593770e-02   9.756048e-04   1.615456e-04   167514
  4.914175e-01   6.556505e-02   9.745776e-04   1.601064e-04   169862
  4.948220e-01   6.574921e-02   9.838968e-04   1.594121e-04   173602
  4.982323e-01   6.627206e-02   9.830917e-04   1.581175e-04   175258
  5.016339e-01   6.668098e-02   9.862687e-04   1.587916e-04   177654
  5.050410e-01   6.673327e-02   9.895807e-04   1.572508e-04   180698
  5.084427e-01   6.719786e-02   9.791290e-04   1.581283e-04   181968
  5.118414e-01   6.766971e-02   9.787235e-04   1.583672e-04   184850
  5.152392e-01   6.807166e-02   9.792509e-04   1.583741e-04   187034
  5.186493e-01   6.818805e-02   9.887200e-04   1.569379e-04   191238
  5.220519e-01   6.874687e-02   9.768042e-04   1.584148e-04   191042
  5.254432e-01   6.889396e-02   9.855000e-04   1.562048e-04   195102
  5.288335e-01   6.916251e-02   9.778254e-04   1.573739e-04   195786
  5.322301e-01   6.880467e-02   9.901932e-04   1.532225e-04   201164
  5.356296e-01   6.959039e-02   9.735643e-04   1.556565e-04   201070
  5.390212e-01   6.930909e-02   9.785171e-04   1.534668e-04   205234
  5.424222e-01   6.994232e-02   9.768081e-04   1.536403e-04   207342
  5.458239e-01   6.988490e-02   9.815179e-04   1.531927e-04   210602
  5.492295e-01   7.050008e-02   9.836776e-04   1.532805e-04   213130
  5.526459e-01   7.079596e-02   9.915409e-04   1.523852e-04   217318
  5.560456e-01   7.081615e-02   9.743530e-04   1.528057e-04   216306
  5.594305e-01   7.072409e-02   9.794774e-04   1.511400e-04   220652
  5.628376e-01   7.138523e-02   9.842473e-04   1.514383e-04   224502
  5.662522e-01   7.178506e-02   9.844461e-04   1.509650e-04   227186
  5.696552e-01   7.153410e-02   9.784190e-04   1.514156e-04   228398
  5.730519e-01   7.175404e-02   9.819770e-04   1.499406e-04   231642
  5.764475e-01   7.231788e-02   9.824176e-04   1.506974e-04   233946
  5.798545e-01   7.242511e-02   9.913361e-04   1.487296e-04   238694
